accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.1499,0.0469,0.9194,7.6904,-2.2583,2.1362,19.88,-17.814,-91.763
0.1709,0.0742,0.8779,12.3901,-2.8076,3.54,20.105,-17.633,-91.967
0.1724,0.0806,0.8623,10.5591,-4.4556,2.3804,20.336,-17.551,-92.186
0.1689,0.0342,0.8857,26.3672,-4.8828,3.3569,21.11,-17.633,-92.642
0.1895,0.0972,0.7598,43.7622,-12.3901,8.2397,23.956,-18.155,-92.851
0.2432,0.1812,0.6577,20.2637,-7.3853,0.5493,26.422,-19.017,-93.109
0.2183,0.1504,0.6504,21.6675,-3.6011,2.9907,27.614,-19.248,-93.719
0.2207,0.1367,0.6172,24.4141,-3.3569,3.9673,28.916,-19.44,-93.977
0.2139,0.0776,0.6255,43.2129,-5.3101,2.6245,30.789,-19.704,-94.499
0.251,0.2031,0.4185,54.8096,-7.3853,2.9907,35.178,-20.407,-94.977
0.2246,0.1406,0.3955,46.7529,-4.6997,3.6621,38.584,-20.863,-95.911
0.2407,0.2085,0.2456,39.3677,-3.8452,6.7749,41.957,-21.769,-96.279
0.2314,0.0659,0.3091,34.2407,-5.249,2.0142,43.709,-22.698,-97.196
0.2637,0.0679,0.1821,68.0542,-2.5024,2.8687,47.219,-23.912,-98.097
0.2412,0.0752,0.0674,51.6968,-1.4038,-6.7139,51.432,-25.192,-99.338
0.2354,0.0054,0.0137,49.0723,-3.418,-2.0752,55.014,-27.186,-101.063
0.2563,-0.0103,-0.0615,35.2173,-3.7231,1.2817,57.805,-30.185,-103.293
0.2549,-0.0664,-0.0864,20.4468,-1.8311,-4.9438,62.342,-30.718,-102.178
0.2598,-0.104,-0.1201,30.9448,5.7983,-2.2583,69.681,-29.938,-98.718
0.2349,-0.1333,-0.166,21.3623,1.709,0.7324,77.256,-29.482,-95.416
0.2583,-0.1001,-0.2451,25.0854,0.1831,3.9673,85.122,-29.427,-93.34
0.2725,-0.0737,-0.3052,11.6577,5.0049,3.1128,92.098,-29.46,-91.835
0.2676,-0.1157,-0.2842,-1.2817,6.958,1.8311,97.103,-29.531,-90.176
0.2847,-0.1294,-0.2427,-20.752,0.3052,-2.4414,100.849,-29.603,-88.693
0.2739,-0.1299,-0.1978,-29.541,0.0,-4.5166,103.255,-29.581,-87.094
0.2603,-0.0864,-0.1558,-33.7524,-1.709,-2.9297,104.788,-29.795,-85.523
0.2656,-0.0352,-0.1064,-32.8369,0.6714,-1.5869,105.705,-30.24,-83.606
0.2944,0.0283,-0.0635,-40.6494,-2.8076,-1.4648,105.996,-30.833,-81.392
0.2793,0.0327,0.0156,-48.8892,-0.7935,-4.0894,105.233,-31.641,-78.646
0.2588,0.0293,0.1162,-53.2837,1.2817,-8.7891,102.057,-32.08,-76.152
0.2397,0.0732,0.1992,-48.584,2.6855,-12.0239,93.439,-32.234,-79.091
0.2446,0.1392,0.2554,-42.7856,2.4414,-5.7373,85.139,-32.042,-81.288
0.2432,0.1694,0.3267,-43.7012,0.7935,-0.9766,77.217,-31.624,-82.809
0.228,0.1719,0.4033,-51.4526,1.6479,-2.3193,69.505,-30.828,-83.936
0.231,0.1387,0.5161,-48.3398,4.9438,-4.5166,62.051,-29.696,-84.897
0.2017,0.0894,0.6323,-43.2739,3.418,-5.9814,55.08,-28.301,-85.759
0.186,0.0938,0.6938,-37.9639,4.2114,-7.3242,48.763,-26.999,-86.688
0.1675,0.0962,0.7437,-29.2358,8.1177,-2.4414,43.039,-25.307,-87.242
0.1836,0.1113,0.7812,-25.0244,8.1177,-0.6714,38.271,-23.692,-87.583
0.1553,0.105,0.8179,-17.0288,7.6904,-1.77,34.261,-21.973,-87.99
0.1445,0.0732,0.8569,-6.958,5.6763,-1.1597,31.102,-20.446,-88.517
0.127,0.0669,0.876,-2.7466,2.9297,1.0986,28.878,-19.215,-88.962
0.1367,0.0786,0.8643,3.8452,0.0,1.709,27.493,-18.413,-89.522
0.1504,0.0991,0.8408,2.0752,3.9673,2.0142,26.422,-17.726,-89.962
0.1343,0.0649,0.8755,0.0,2.5635,4.2725,24.884,-16.941,-90.132
0.1572,0.0752,0.855,14.0381,-2.3804,5.127,24.291,-16.589,-90.264
