accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
-0.0791,-0.1636,1.1982,2.3804,-1.2207,-0.061,-1.549,-6.982,-40.688
-0.0752,-0.1631,1.1934,5.188,0.2441,0.4883,-1.522,-6.378,-40.825
-0.0723,-0.1484,1.188,5.8594,1.1597,1.77,-1.34,-5.663,-40.891
-0.0757,-0.1899,1.1997,9.8267,5.4321,0.3662,-0.994,-4.839,-40.891
-0.0825,-0.2388,1.2036,35.0952,6.6528,12.4512,0.621,-3.807,-40.292
-0.0815,-0.2236,1.1143,79.5288,8.606,19.5923,5.504,-2.593,-39.238
-0.0005,-0.1763,0.939,132.9346,14.8315,38.208,14.766,-1.879,-36.815
0.0835,-0.0654,0.5767,172.3633,16.5405,57.1899,28.257,-0.895,-33.558
0.1943,0.0127,0.3911,121.521,56.0913,17.0898,40.078,-2.302,-29.46
0.248,0.0532,0.0649,118.6523,0.7935,42.5415,50.334,-6.389,-24.895
0.3169,0.0493,-0.1172,88.3179,0.1831,23.8037,60.09,-12.068,-20.468
0.396,0.2275,-0.3457,42.4194,1.709,-3.3569,68.912,-16.941,-19.111
0.2705,-0.0552,-0.2192,-5.6152,-0.5493,-14.7095,72.422,-18.578,-20.039
0.2734,0.0171,-0.1851,-41.3208,-6.5918,-15.8691,73.46,-20.792,-21.813
0.228,0.0127,-0.0552,-89.0503,-7.3853,-24.9634,70.51,-22.5,-24.06
0.1953,0.0811,0.0791,-99.3042,-18.7378,-25.0244,64.589,-23.89,-26.104
0.1626,0.1118,0.3013,-106.0181,-11.5967,-28.5645,56.519,-25.521,-27.334
0.1167,0.1172,0.439,-88.9893,1.4648,-25.3906,46.829,-25.197,-26.807
0.061,0.1113,0.5781,-98.5107,-7.2632,-15.9912,36.326,-24.642,-27.037
0.0352,-0.0342,0.8135,-99.7925,0.3662,-27.0996,25.703,-22.819,-29.13
-0.0239,-0.0835,0.9712,-72.5098,-2.8687,-21.3623,16.589,-21.528,-31.047
-0.0435,-0.1191,1.082,-51.1475,0.2441,-19.2261,9.893,-19.99,-33.278
-0.0835,-0.1904,1.1641,-52.3071,0.2441,-21.9116,4.878,-18.441,-35.799
-0.0967,-0.2188,1.2192,-24.292,-2.7466,-3.418,0.95,-17.194,-37.112
-0.0933,-0.2124,1.2319,-10.0708,-1.4038,-5.4321,-0.961,-16.166,-38.035
-0.0825,-0.2139,1.2319,-3.418,0.6714,-3.2959,-1.901,-15.112,-38.705
-0.1006,-0.1987,1.2222,2.0142,0.061,-1.5259,-2.302,-13.936,-39.265
-0.0991,-0.186,1.2104,3.0518,-0.6714,0.1221,-2.444,-12.887,-39.573
-0.0913,-0.1821,1.2144,1.5259,-1.2207,1.0986,-2.659,-11.931,-39.732
-0.0933,-0.1792,1.2109,1.5869,0.0,-0.4272,-2.867,-11.014,-39.869
-0.104,-0.1826,1.2129,-0.5493,-0.3662,-0.1831,-3.131,-10.113,-40.095
-0.0986,-0.189,1.2031,1.6479,0.7935,0.1221,-3.351,-9.229,-40.232
-0.1006,-0.1807,1.2104,2.3804,-0.7935,0.061,-3.488,-8.432,-40.364
-0.0918,-0.1758,1.2031,3.1738,-0.9766,0.1831,-3.483,-7.817,-40.529
-0.0869,-0.1689,1.2031,2.4414,-0.1221,-0.3052,-3.505,-7.196,-40.671
-0.0859,-0.1733,1.2017,1.2817,0.4272,0.0,-3.647,-6.553,-40.77
-0.0933,-0.1665,1.1973,1.4038,0.0,0.061,-3.763,-5.894,-40.886
-0.0864,-0.1602,1.1929,0.2441,-1.1597,0.4883,-3.873,-5.345,-40.968
-0.0913,-0.167,1.2002,-0.3662,-0.8545,0.4883,-4.087,-4.818,-41.067
-0.0889,-0.1646,1.188,0.3052,0.2441,-1.1597,-4.213,-4.274,-41.133
-0.0942,-0.1787,1.2041,0.0,0.061,0.6714,-4.477,-3.741,-41.259
