accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.1577,0.0254,0.9575,4.8218,-1.2207,1.8921,13.151,-19.677,-92.884
0.1602,0.0249,0.9487,11.4136,-2.2583,2.5024,13.239,-19.276,-92.955
0.1611,0.0288,0.9326,18.3105,-6.0425,2.7466,14.013,-19.188,-93.104
0.166,0.0615,0.8726,38.269,-12.8784,5.6152,15.974,-19.572,-93.257
0.207,0.0972,0.7915,33.2642,-13.6108,4.5166,18.864,-20.577,-93.428
0.2324,0.1001,0.7534,33.8745,-9.6436,3.7842,21.368,-21.39,-93.636
0.248,0.1001,0.687,40.1611,-5.0049,3.1738,24.137,-21.929,-93.746
0.2354,0.1348,0.5859,44.7998,-5.6763,5.8594,27.515,-22.258,-93.911
0.2632,0.1274,0.5137,37.7808,-3.2349,2.9907,30.602,-22.846,-93.95
0.2524,0.0957,0.4722,33.6304,-2.1362,0.6714,33.239,-23.395,-94.158
0.271,0.1357,0.4038,40.2832,-5.3711,1.2817,36.183,-24.115,-94.57
0.2642,0.124,0.312,51.6968,-6.1646,5.6152,39.771,-24.862,-95.208
0.2842,0.1807,0.1479,55.603,-9.0332,5.8594,44.099,-26.071,-96.13
0.2593,0.0752,0.1255,55.7861,-8.0566,3.7842,47.939,-27.35,-98.135
0.2617,0.0195,0.0615,56.9458,3.1738,5.7373,51.916,-29.103,-99.514
0.2578,0.0762,-0.1128,42.0532,-4.2114,0.4272,55.679,-31.306,-100.926
0.2812,0.043,-0.1792,29.7852,1.4038,3.7842,59.562,-32.272,-101.849
0.2598,-0.0513,-0.1436,25.8179,6.897,6.1035,66.0,-31.954,-98.454
0.2578,-0.1191,-0.1475,26.3062,10.498,2.3804,72.702,-31.421,-94.867
0.2837,-0.0703,-0.2446,15.625,5.4321,3.7231,79.937,-31.333,-91.879
0.3237,-0.0625,-0.2642,-2.2583,3.479,3.2349,85.682,-31.718,-89.747
0.3169,-0.1021,-0.209,-11.9629,3.6011,0.7935,89.676,-31.97,-87.654
0.3174,-0.0674,-0.1909,-23.8037,3.54,-1.4038,92.554,-32.223,-85.551
0.3359,0.0278,-0.2017,-35.8887,12.2681,0.7935,93.664,-32.602,-82.93
0.3159,0.0796,-0.1646,-63.7817,7.0801,-2.8687,92.175,-32.882,-79.816
0.3354,0.0244,0.0327,-66.2231,0.061,-0.8545,88.984,-33.195,-77.47
0.3047,0.0151,0.1895,-67.3218,5.188,-5.0659,84.507,-33.289,-74.993
0.2827,0.0337,0.3052,-61.3403,9.3994,-15.9912,74.63,-33.162,-77.426
0.2681,0.1348,0.3564,-50.354,7.1411,-11.8408,65.836,-32.618,-79.156
0.2476,0.1548,0.4502,-48.7061,3.0518,-9.7046,57.777,-31.63,-80.953
0.2529,0.1587,0.5425,-51.3916,-1.4038,-8.728,50.587,-30.69,-82.98
0.229,0.0859,0.6904,-66.3452,-0.9766,-5.9814,43.363,-29.74,-84.507
0.2397,0.0684,0.7949,-39.6729,6.1035,-14.0381,36.755,-28.389,-85.408
0.1963,0.0566,0.8408,-33.0811,7.8125,-12.146,31.811,-26.537,-86.605
0.1616,0.0503,0.8652,-24.1089,7.6294,-8.8501,27.559,-24.439,-87.698
0.1382,0.0156,0.938,-15.9912,5.4321,-7.1411,23.95,-22.835,-88.857
0.1309,0.0171,0.9546,-12.3901,1.5869,-4.3335,21.374,-21.539,-89.874
0.1299,0.0122,0.9707,-6.7749,2.3193,-2.1362,19.473,-20.522,-90.654
0.1294,0.0107,0.9712,-3.1128,0.2441,0.3052,18.083,-19.644,-91.17
0.1338,0.0122,0.9854,-2.6855,1.4038,1.2817,16.897,-18.869,-91.516
0.1401,0.0269,0.9658,2.8076,-1.8921,1.2207,16.183,-18.232,-91.785
0.1484,0.0249,0.9648,10.376,-1.0376,3.2959,15.941,-17.847,-92.076
