accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
-0.0308,-0.1792,1.2202,3.7231,-1.5259,1.5869,-3.51,-7.449,-31.273
-0.0322,-0.189,1.2085,11.1694,-4.6387,3.9062,-3.076,-7.218,-31.119
-0.0103,-0.231,1.2354,27.2827,-8.1177,9.0942,-1.791,-7.377,-30.8
0.0093,-0.2163,1.1562,61.8896,-11.2915,19.2871,1.923,-7.767,-29.811
0.0723,-0.2354,1.0869,97.4731,-21.3013,26.5503,7.976,-9.031,-28.603
0.1621,-0.106,0.7725,166.1987,-3.1128,41.748,19.363,-10.377,-26.318
0.2725,0.0508,0.3774,178.5278,11.0474,31.7383,34.102,-10.453,-23.286
0.334,0.0947,0.0493,155.2124,25.9399,29.9683,48.658,-12.387,-18.204
0.3101,0.1387,-0.1523,82.3975,6.1646,8.3618,60.084,-15.546,-13.672
0.3252,0.0234,-0.1807,50.1709,-1.2817,8.5449,67.11,-19.182,-13.013
0.3599,-0.0098,-0.1562,13.7939,1.2207,-5.0659,71.873,-23.154,-13.255
0.3403,-0.0254,-0.1494,0.1831,28.9307,-3.6621,73.916,-26.851,-12.2
0.3545,-0.0137,-0.1577,-11.9629,0.7324,-3.1738,74.553,-29.185,-12.134
0.373,0.1421,-0.2451,-71.5942,-7.2021,-23.9258,74.119,-31.822,-14.156
0.3135,0.2109,-0.1582,-149.353,-20.752,-38.9404,67.253,-32.13,-17.386
0.2817,0.0557,0.1694,-193.3594,1.1597,-53.0396,54.185,-31.025,-20.819
0.1724,-0.0361,0.5947,-170.6543,16.9678,-41.1377,38.134,-29.883,-21.857
-0.0068,-0.2842,1.084,-132.3242,-6.6528,-20.1416,23.198,-27.285,-23.983
-0.0176,-0.2896,1.1714,-82.7637,-3.418,-38.4521,13.112,-25.499,-28.729
-0.1128,-0.3223,1.2642,-49.7437,1.9531,-25.5737,6.619,-23.417,-31.976
-0.1191,-0.3296,1.2949,-23.7427,-3.479,-10.6812,2.922,-21.934,-34.404
-0.0991,-0.2939,1.2993,-4.5166,-0.7935,1.6479,0.939,-20.627,-35.167
-0.0728,-0.2788,1.2876,2.6855,-3.1738,4.6997,0.016,-19.385,-35.085
-0.0576,-0.2329,1.2676,8.2397,-2.4414,4.9438,-0.11,-18.248,-34.772
-0.0552,-0.2065,1.2466,9.8877,-1.2817,2.8687,0.132,-17.133,-34.475
-0.062,-0.1836,1.2344,3.7842,0.2441,3.6621,0.214,-15.925,-34.167
-0.0527,-0.1895,1.2319,2.9297,1.3428,1.8311,-0.093,-14.76,-33.843
-0.0571,-0.1914,1.2305,3.2349,0.1221,-0.8545,-0.357,-13.722,-33.821
-0.0571,-0.1968,1.2354,3.3569,-0.9766,-0.9155,-0.588,-12.881,-33.937
-0.0596,-0.1895,1.2256,2.6245,-3.0518,-0.4272,-0.736,-12.129,-34.058
-0.0532,-0.1836,1.2266,0.8545,-1.4038,-0.4272,-1.016,-11.464,-34.135
-0.0513,-0.1831,1.2251,0.061,-0.9155,-0.1831,-1.384,-10.756,-34.178
-0.0469,-0.1924,1.229,0.3052,-1.1597,-0.9155,-1.785,-10.091,-34.266
-0.0469,-0.188,1.2305,1.4648,-0.9766,0.5493,-2.115,-9.454,-34.338
-0.0518,-0.1792,1.2207,1.5869,-0.1831,0.4272,-2.324,-8.767,-34.31
-0.0537,-0.1807,1.2222,1.709,-0.2441,0.1831,-2.582,-8.163,-34.354
-0.0513,-0.1758,1.2197,1.0376,-0.4272,-0.1221,-2.818,-7.592,-34.409
-0.0508,-0.1807,1.2212,0.061,-1.1597,-0.061,-3.082,-7.086,-34.47
-0.0537,-0.2021,1.2324,3.6621,-1.2207,0.9155,-3.252,-6.625,-34.492
