accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.1938,0.0137,0.9863,5.4932,-1.5259,1.4038,10.355,-23.302,-91.093
0.1982,0.0034,0.9932,8.8501,-2.4414,1.3428,10.443,-22.791,-91.236
0.1826,-0.0103,0.9795,20.3247,-0.6104,3.2959,11.349,-22.297,-91.258
0.2305,0.0698,0.8906,31.4941,-7.3242,6.2256,13.392,-22.203,-90.978
0.2505,0.106,0.834,25.3296,-7.9346,4.1504,15.529,-22.473,-90.846
0.2671,0.1196,0.7837,25.7568,-7.3242,3.9673,17.435,-22.824,-90.901
0.2578,0.1089,0.748,36.377,-6.4087,3.6621,19.627,-23.06,-91.176
0.2729,0.1147,0.6875,39.1846,-7.6294,3.1738,22.5,-23.566,-91.5
0.2803,0.1509,0.5825,45.5322,-4.3335,4.3945,26.027,-23.906,-91.763
0.2656,0.1191,0.5449,38.5132,-4.5776,-2.3193,29.251,-24.296,-92.258
0.2808,0.1304,0.4668,50.293,-7.7515,-1.0986,33.107,-24.961,-93.082
0.27,0.1138,0.3774,49.2554,-5.9204,-0.5493,37.282,-25.615,-94.043
0.2632,0.127,0.2749,43.5181,-5.9814,0.7935,41.111,-26.395,-94.818
0.2822,0.1035,0.2012,39.7339,-5.0659,1.9531,44.517,-27.488,-95.614
0.2778,0.0688,0.1309,37.1704,-2.0752,4.3945,47.483,-28.834,-96.251
0.2974,0.0146,0.0771,36.5601,-3.7842,-3.54,50.153,-30.701,-97.333
0.2803,0.0,0.0264,26.6724,-0.9155,-1.4648,52.712,-32.816,-98.729
0.2988,-0.0669,0.0107,30.2124,-3.2349,1.4648,53.443,-35.189,-101.294
0.3135,-0.0415,-0.1079,38.8184,1.0986,4.8218,53.273,-36.749,-104.057
0.2979,-0.0845,-0.144,17.4561,1.2207,0.5493,57.25,-36.689,-102.623
0.3242,-0.0825,-0.1631,8.2397,-1.4038,-0.2441,63.721,-36.359,-99.756
0.3384,-0.0859,-0.1753,0.9766,-0.9155,-1.709,69.406,-36.063,-97.344
0.3379,-0.0747,-0.1831,-5.4321,0.9766,-2.8076,74.279,-35.706,-95.103
0.3262,-0.0371,-0.1865,-17.5781,1.0986,-2.8076,78.179,-35.343,-93.06
0.3159,-0.0156,-0.1533,-36.6211,0.7935,-3.418,80.343,-35.096,-90.912
0.3135,0.0029,-0.0894,-44.0674,-0.6714,-2.1362,81.469,-35.024,-88.698
0.3174,0.0293,-0.019,-50.8423,-3.2349,-2.2583,81.535,-35.217,-86.144
0.2925,0.0117,0.1035,-48.4009,-4.1504,-5.0049,80.458,-35.217,-82.969
0.293,0.0688,0.1709,-47.1191,-0.5493,-6.897,72.999,-35.552,-86.375
0.3027,0.1562,0.2158,-48.584,6.7139,-4.5166,65.528,-36.145,-88.275
0.3115,0.1602,0.3218,-61.1572,9.1553,-2.7466,57.36,-36.107,-89.182
0.27,0.144,0.4473,-61.1572,9.5215,-2.9907,49.18,-35.277,-89.374
0.2412,0.0962,0.5898,-50.0488,4.3945,-4.3335,42.028,-34.178,-89.852
0.2271,0.0898,0.6592,-46.936,5.0049,-5.127,35.782,-33.041,-90.352
0.2427,0.0864,0.7354,-38.0249,11.4136,-3.54,30.103,-31.767,-90.505
0.2202,0.0664,0.8027,-35.2783,4.4556,-6.958,25.148,-30.141,-90.956
0.2031,0.0469,0.8643,-30.1514,4.6997,-7.1411,21.143,-28.652,-91.609
0.1948,0.0259,0.9155,-29.2969,3.2959,-9.2163,17.633,-27.383,-92.236
0.1992,0.02,0.9453,-16.1133,2.1973,-3.9062,14.952,-26.213,-92.692
0.1953,0.0269,0.9551,-13.9771,2.1362,-1.5869,12.986,-25.247,-92.895
0.1963,0.0215,0.979,-9.3384,0.7324,-1.5259,11.404,-24.335,-93.12
0.1948,0.0264,0.9697,-0.4272,2.0142,-0.4883,10.602,-23.511,-93.351
0.1865,0.0254,0.9678,3.2349,2.4414,1.5869,10.146,-22.593,-93.395
