accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.1841,0.9106,0.3906,2.0142,-0.6104,-0.6714,65.863,-6.647,-47.933
0.2144,0.9102,0.3799,0.6104,15.8081,-12.4512,65.934,-6.119,-47.17
0.0654,0.9004,0.3931,-0.4272,32.0435,-38.6963,65.847,-2.895,-45.588
-0.0122,0.8564,0.3989,-3.418,42.8467,-50.7202,65.775,2.109,-43.885
-0.2031,0.8813,0.3994,0.5493,43.7622,-52.5513,65.836,8.432,-41.688
-0.3228,0.8828,0.3784,0.1831,30.5176,-37.9639,66.297,13.771,-40.331
-0.3877,0.8481,0.3877,0.4883,28.7476,-18.2495,66.819,17.633,-38.798
-0.3921,0.8291,0.3613,0.2441,22.4609,-16.6626,67.709,19.748,-37.332
-0.4673,0.8457,0.3521,7.0801,12.5732,-15.564,68.505,22.083,-36.595
-0.4746,0.8843,0.2969,-1.3428,-3.1738,-4.5166,69.395,23.483,-36.92
-0.5093,0.8784,0.3149,-6.4087,0.2441,10.376,69.175,23.384,-37.123
-0.4766,0.8599,0.3228,-5.127,-24.4141,29.0527,68.5,21.544,-37.996
-0.3682,0.8755,0.3394,-7.1411,-39.917,45.4102,67.527,17.765,-39.391
-0.2212,0.8608,0.3628,-7.2021,-59.5093,56.0913,66.281,11.662,-42.264
0.0166,0.8574,0.4072,-4.0894,-42.1143,48.0347,65.165,5.312,-44.626
0.1021,0.8779,0.4185,1.9531,-23.7427,29.2358,65.242,0.198,-46.269
0.0903,0.9038,0.4058,1.8921,-10.376,13.1836,65.533,-2.335,-46.615
0.0933,0.9106,0.4043,-0.1221,-11.3525,10.6201,65.621,-3.834,-46.758
0.1157,0.9121,0.4014,1.3428,-7.9346,4.1504,65.72,-4.828,-47.065
0.1528,0.9111,0.3892,0.3052,0.4272,-1.2817,65.825,-5.202,-47.005
