accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.2559,0.8711,0.4238,1.4648,0.3662,1.1597,63.787,-11.904,-45.934
0.2656,0.8691,0.4121,5.3101,10.7422,-9.3384,64.028,-11.442,-45.22
0.2466,0.8594,0.4004,2.1973,24.0479,-28.0762,64.391,-9.47,-44.11
0.1157,0.8657,0.4185,4.7607,31.1279,-47.4243,64.693,-5.153,-42.665
-0.0303,0.8677,0.418,2.9297,31.25,-52.063,65.138,0.363,-41.781
-0.1211,0.8877,0.3965,2.6855,26.062,-46.3867,65.632,5.779,-41.177
-0.2378,0.8818,0.3906,0.8545,24.8413,-39.917,66.022,10.662,-40.54
-0.3198,0.8726,0.3799,1.8921,19.043,-23.1934,66.434,14.387,-39.957
-0.3652,0.8726,0.3765,1.2207,17.0288,-18.7378,66.676,17.012,-39.468
-0.417,0.8706,0.3687,-7.3853,7.6294,-14.1602,67.006,19.089,-39.1
-0.4077,0.8833,0.3452,1.709,4.8828,-1.2207,66.863,20.242,-39.584
-0.4453,0.8726,0.376,-5.5542,-0.9155,9.0942,66.835,20.143,-39.386
-0.4316,0.8564,0.397,-1.709,-14.0991,34.4849,66.368,18.138,-40.045
-0.292,0.8682,0.3691,-5.0049,-18.9819,46.1426,66.319,14.299,-40.007
-0.1748,0.8789,0.3848,-3.9062,-30.8228,49.0723,65.841,9.41,-40.677
-0.0381,0.8735,0.4019,1.77,-38.3911,43.9453,65.654,3.95,-42.105
0.0405,0.8999,0.3936,1.77,-33.5083,24.9634,65.808,0.011,-44.165
0.0806,0.895,0.397,0.4272,-21.8506,25.7568,65.962,-3.214,-45.297
0.1572,0.9028,0.3882,-0.6714,-19.8975,26.062,65.967,-6.125,-45.731
0.2393,0.8857,0.3911,0.6714,-2.4414,12.6343,66.039,-8.229,-45.555
0.1963,0.9263,0.3633,4.6387,0.0,-3.6621,66.627,-8.438,-45.297
