accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.3623,0.5879,0.7168,1.6479,-0.1221,-1.709,39.183,-19.237,-43.077
0.3599,0.5977,0.7178,1.8921,2.0752,-1.5869,39.413,-19.171,-42.715
0.3516,0.6011,0.7129,1.8921,2.6245,-2.8076,39.639,-18.979,-42.303
0.3467,0.604,0.7168,0.9766,4.5166,-3.54,39.798,-18.583,-41.924
0.3384,0.606,0.7153,2.0752,6.4087,-5.3101,39.99,-17.996,-41.556
0.3403,0.6157,0.7148,1.9531,9.3994,-5.3101,40.215,-17.161,-41.149
0.3013,0.6221,0.7207,2.5635,13.0005,-5.5542,40.358,-16.04,-40.463
0.2793,0.6265,0.7231,3.9062,16.5405,-9.5825,40.589,-14.518,-39.836
0.2461,0.6362,0.7139,6.1035,26.5503,-15.2588,41.094,-12.255,-39.073
0.1807,0.6484,0.7178,5.4321,33.2642,-24.7192,41.578,-8.948,-38.375
0.0801,0.6558,0.7192,7.5684,38.3301,-32.2266,42.16,-4.669,-37.947
-0.0273,0.6885,0.7324,5.3101,32.1655,-29.0527,42.891,-0.121,-37.804
-0.1011,0.6787,0.7227,7.8125,27.832,-30.3345,43.434,3.95,-38.029
-0.1616,0.6855,0.7129,6.4087,23.1934,-30.5176,44.022,7.723,-38.705
-0.2129,0.6826,0.6831,5.6152,24.0479,-31.5552,44.478,11.42,-39.606
-0.2861,0.6763,0.666,7.8735,29.6021,-32.5928,45.016,15.452,-40.435
-0.3521,0.6636,0.6465,8.3008,33.4473,-27.771,45.862,19.572,-40.732
-0.4648,0.6816,0.6177,7.3242,29.2358,-18.1885,46.934,23.45,-40.298
-0.5078,0.6709,0.5879,1.6479,12.085,-11.7798,47.659,25.955,-40.166
-0.4878,0.6641,0.5762,-1.4648,4.9438,-6.2866,47.818,27.147,-40.6
-0.4946,0.6436,0.584,-4.8218,2.8076,-4.3945,47.45,27.9,-41.149
-0.5029,0.6333,0.5962,-2.0142,2.1973,-0.4883,47.12,28.306,-41.506
-0.5024,0.6357,0.5942,0.061,-0.1831,-0.9155,47.131,28.493,-41.874
-0.5229,0.6543,0.604,-1.6479,-4.7607,1.77,47.082,28.499,-42.506
-0.5361,0.6655,0.605,-9.5825,-20.752,6.7139,46.5,27.576,-43.478
-0.4712,0.6445,0.6265,-17.8833,-28.1982,8.3008,44.517,25.521,-45.275
-0.4097,0.6089,0.6694,-10.437,-30.3955,13.916,42.654,22.786,-46.879
-0.3521,0.6187,0.6938,-5.4321,-29.3579,18.5547,41.732,19.671,-47.999
-0.2817,0.6309,0.7134,-5.8594,-31.0059,26.7944,41.166,16.035,-48.516
-0.2065,0.6387,0.7344,-6.4087,-26.3062,31.6772,40.682,12.123,-48.307
-0.1729,0.6479,0.7559,-3.3569,-35.4004,36.499,40.375,7.943,-47.769
-0.0371,0.6475,0.7563,-2.0752,-29.4189,38.9404,40.259,3.06,-46.956
0.0396,0.6328,0.7515,-1.0986,-28.3813,35.2173,40.1,-1.28,-45.967
0.1216,0.6465,0.7529,0.1831,-21.9727,29.1138,40.133,-5.081,-45.005
0.1646,0.6304,0.7534,-3.6621,-24.353,24.6582,39.875,-8.333,-44.247
0.2432,0.6108,0.7441,-1.4038,-20.9961,21.3013,39.633,-11.486,-43.66
0.2822,0.6074,0.7344,-0.6714,-16.1743,11.6577,39.573,-13.755,-43.325
0.2935,0.6089,0.729,-0.9766,-18.3105,14.9536,39.562,-15.776,-43.066
0.354,0.5962,0.7134,0.8545,-15.2588,12.085,39.639,-17.946,-42.66
0.3931,0.584,0.7007,2.6245,-7.6904,5.127,39.787,-19.468,-42.166
0.395,0.5898,0.7007,0.0,-5.3711,0.5493,39.99,-20.176,-41.863
0.3921,0.6011,0.6963,2.3804,-0.2441,-2.4414,40.298,-20.363,-41.666
