accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.0801,0.9731,0.2397,-0.1221,-1.6479,-1.8311,75.229,-2.417,-22.05
0.0605,0.9727,0.2388,-1.4038,-0.3052,-4.7607,75.179,-2.181,-21.923
0.0483,0.9668,0.2476,-2.7466,-0.9766,-6.4087,75.037,-1.774,-21.83
0.0264,0.9692,0.2515,-2.6855,-2.2583,-6.2256,74.811,-1.28,-21.907
0.021,0.9707,0.2495,-1.77,-1.2817,-5.8594,74.641,-0.807,-22.0
0.0156,0.9707,0.2544,-0.9766,0.4883,-4.7607,74.586,-0.341,-21.956
0.0137,0.9653,0.2617,-1.8311,1.1597,-7.8735,74.52,0.176,-21.78
0.0103,0.9614,0.2729,-1.3428,-3.54,-15.3809,74.416,1.198,-22.033
0.0,0.9482,0.2788,-5.7983,-4.8218,-28.6865,74.026,2.977,-22.868
-0.085,0.9448,0.2822,-5.4932,-4.0283,-40.4663,73.345,6.053,-24.082
-0.1304,0.9409,0.2822,-2.9297,-8.5449,-40.7715,72.762,9.393,-25.714
-0.2051,0.9102,0.3018,-6.0425,0.061,-53.5889,71.988,13.629,-27.422
-0.3223,0.8457,0.3296,-6.0425,5.3711,-66.1621,70.95,19.006,-28.998
-0.4395,0.7944,0.313,4.3945,0.5493,-67.5659,70.076,24.95,-31.119
-0.5312,0.7866,0.2715,9.7656,11.0474,-62.6831,69.84,31.097,-33.376
-0.6851,0.7334,0.2563,0.7935,24.4141,-43.8843,70.329,36.667,-33.723
-0.7568,0.6938,0.2402,1.5259,16.2964,-18.8599,71.252,40.226,-32.789
-0.7407,0.6748,0.2271,-2.9907,11.3525,-7.9956,71.938,41.907,-31.965
-0.7393,0.6719,0.2231,-1.8921,5.8594,-3.1738,72.186,42.858,-31.619
-0.7261,0.6719,0.2173,1.5869,4.9438,1.2817,72.565,43.176,-31.415
-0.7891,0.6909,0.2158,-3.1738,-3.8452,15.8691,72.938,42.759,-31.333
-0.7461,0.7212,0.2104,-7.9346,-6.6528,36.1328,72.51,40.534,-31.547
-0.6035,0.7485,0.2178,-9.9487,-6.8359,50.354,72.18,36.53,-31.025
-0.5542,0.7812,0.2603,-12.7563,2.3193,58.1665,72.213,31.756,-29.257
-0.459,0.8359,0.2681,-10.376,-8.9722,55.1758,71.906,26.697,-27.993
-0.3408,0.8721,0.2891,-6.2866,-1.5259,53.5889,71.565,21.649,-27.037
-0.2563,0.8818,0.3027,0.6104,-0.1221,51.8799,71.779,16.897,-25.422
-0.1646,0.9043,0.2896,3.8452,4.6997,44.0063,72.46,12.552,-23.84
-0.103,0.9229,0.3086,2.4414,3.0518,50.7812,73.202,8.102,-21.846
-0.0264,0.957,0.2886,3.9673,-2.2583,40.3442,73.482,4.131,-20.506
0.0376,0.9683,0.2749,4.5166,-4.7607,20.3247,73.889,1.357,-19.852
0.0601,0.9663,0.2686,2.9297,-5.7983,4.0894,74.218,0.132,-19.88
0.0264,0.9692,0.2593,0.5493,-3.479,-1.2207,74.328,-0.115,-20.006
0.022,0.9683,0.2559,0.3662,-2.6855,-1.8921,74.355,-0.165,-20.078
