accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.0034,0.9712,0.2568,0.1221,-0.1831,-0.4883,74.625,0.231,-17.452
-0.0049,0.9775,0.2651,-0.7935,0.2441,-1.709,74.581,0.297,-17.435
-0.0166,0.9473,0.2749,2.3804,-4.8218,-4.2725,74.68,0.599,-17.573
0.0039,0.9595,0.2705,0.2441,-4.0283,-4.5166,74.789,0.851,-18.1
-0.0156,0.9702,0.2603,-2.7466,-5.9204,-6.8359,74.608,1.236,-18.616
-0.0044,0.9761,0.2559,1.0376,-1.77,-6.2866,74.515,1.741,-19.111
-0.0229,0.9658,0.2578,-0.3662,-2.1973,-15.625,74.531,2.802,-19.462
-0.0659,0.9536,0.2671,-2.9907,-3.2959,-22.0337,74.295,4.51,-20.154
-0.1094,0.9468,0.2812,-4.8218,-5.4321,-28.1372,73.795,6.757,-21.171
-0.1558,0.9351,0.2974,-3.54,-4.8218,-33.3862,73.13,9.437,-22.478
-0.2031,0.9116,0.3047,-3.2959,-8.606,-42.1753,72.416,12.728,-24.225
-0.2817,0.8994,0.3076,1.2207,-5.188,-49.3774,71.702,16.815,-26.466
-0.3613,0.8438,0.3003,3.479,0.4272,-53.3447,71.334,21.495,-28.378
-0.4404,0.8052,0.3076,6.2866,0.3052,-54.1382,70.983,26.488,-30.317
-0.5693,0.8037,0.2539,9.5215,4.3335,-50.4761,70.807,31.476,-32.421
-0.667,0.7627,0.248,1.5259,15.3198,-29.541,71.224,35.403,-32.811
-0.707,0.7148,0.2646,-4.3945,7.3853,-11.5967,71.422,37.705,-32.443
-0.6895,0.709,0.2642,-4.6387,1.4648,-5.6152,70.917,38.661,-32.888
-0.6738,0.6934,0.2651,-1.0376,0.2441,0.0,70.741,38.969,-33.234
-0.6816,0.7065,0.2681,-2.3193,-1.2207,2.8076,70.488,39.007,-33.679
-0.6855,0.7275,0.2632,-2.3804,-2.0752,17.334,70.362,38.243,-33.948
-0.6646,0.7554,0.2642,-7.6294,0.1221,38.6963,70.521,35.892,-33.283
-0.5698,0.7744,0.2773,-11.5356,3.3569,58.96,70.779,31.591,-31.399
-0.4761,0.8311,0.2842,-8.9111,-0.4883,61.7676,70.972,26.318,-29.295
-0.3413,0.8687,0.2944,-8.728,-0.8545,60.1196,70.867,20.83,-27.642
-0.2383,0.8931,0.3105,0.4883,2.2583,55.6641,71.049,15.738,-25.763
-0.1445,0.9175,0.3169,5.127,2.5635,49.2554,71.768,11.041,-23.829
-0.0601,0.9375,0.3047,4.4556,5.4932,37.7808,72.438,7.163,-22.126
-0.0151,0.9561,0.29,4.1504,6.5308,31.5552,72.927,4.01,-20.363
0.0195,0.959,0.2817,4.6387,2.0752,19.4092,73.449,1.642,-19.001
0.0356,0.9634,0.2754,4.3945,-1.9531,9.4604,73.867,0.236,-18.419
0.0405,0.9653,0.2656,4.5776,-1.3428,5.0049,74.284,-0.544,-18.199
0.042,0.9648,0.2607,2.0752,-0.8545,2.5024,74.625,-1.005,-17.941
0.04,0.9648,0.2573,-0.3662,-1.3428,0.1221,74.713,-1.241,-17.787
0.0425,0.9692,0.2544,0.0,-1.9531,-1.77,74.718,-1.324,-17.77
