accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.3408,0.7827,0.521,-0.9155,-3.9673,-5.188,55.854,-20.303,-51.229
0.3594,0.8052,0.5146,0.1221,-5.7983,-4.1504,56.151,-20.187,-51.652
0.3413,0.7842,0.5181,-5.0049,-5.3711,-6.7139,56.014,-20.039,-51.927
0.3599,0.7856,0.5132,-2.4414,-5.0659,-5.127,56.047,-19.907,-52.559
0.3408,0.7983,0.5161,1.6479,-3.54,-2.1362,56.277,-19.841,-52.795
0.3091,0.7808,0.5146,-8.728,-11.6577,-9.1553,56.245,-19.759,-53.388
0.3184,0.7983,0.5181,-9.0942,-27.71,-21.3623,56.354,-19.682,-55.701
0.2695,0.8174,0.5151,-27.9541,-59.9976,-56.3965,56.541,-18.622,-61.177
0.3267,0.8086,0.5015,-30.5786,-65.1855,-64.1479,56.365,-17.067,-70.345
0.3301,0.7979,0.5093,-24.1699,-42.4194,-42.2974,55.942,-15.837,-78.124
0.2729,0.7905,0.541,-17.334,-30.7617,-31.6772,55.388,-14.969,-83.117
0.2476,0.7842,0.5537,-17.334,-31.7383,-34.5459,54.86,-14.161,-87.929
0.2427,0.7886,0.562,-11.9629,-29.48,-36.9263,54.509,-13.233,-92.867
0.2168,0.7974,0.5581,-9.4604,-33.02,-40.6494,54.564,-11.986,-98.141
0.2056,0.8096,0.5571,-7.8125,-25.5737,-30.1514,54.662,-10.849,-103.447
0.1704,0.8154,0.5635,-5.9814,-17.8223,-18.8599,54.591,-10.195,-107.194
0.1997,0.8022,0.5669,-5.127,-13.4888,-5.9204,54.355,-10.294,-109.874
0.2197,0.791,0.5625,1.2817,-2.5635,3.2349,54.349,-10.723,-111.248
0.2144,0.8022,0.5669,1.2817,1.2817,5.6152,54.41,-11.118,-111.698
0.209,0.8003,0.5688,0.8545,3.6621,5.3711,54.47,-11.387,-111.753
0.2124,0.8032,0.5669,1.2207,5.4321,7.8735,54.454,-11.673,-111.61
0.2207,0.7959,0.5635,-3.54,5.6152,14.8315,54.053,-12.321,-111.083
0.2324,0.7788,0.5757,-0.4272,8.4839,10.1929,53.608,-12.859,-110.215
0.2222,0.7827,0.5815,2.5635,8.1787,10.2539,53.476,-13.118,-109.473
0.2422,0.7754,0.5713,5.0659,9.0942,11.6577,53.558,-13.535,-108.6
0.2734,0.7822,0.5615,10.0098,19.2261,19.104,53.844,-13.931,-106.952
0.2808,0.7769,0.5518,11.2305,31.311,36.2549,53.893,-14.793,-103.25
0.3091,0.7622,0.5449,27.771,53.3447,49.3164,54.19,-15.743,-97.147
0.2593,0.8135,0.5361,28.6865,58.3496,56.2744,54.976,-16.859,-88.671
0.2749,0.8037,0.54,21.0571,41.8701,41.8701,55.212,-17.957,-81.321
0.2959,0.7988,0.5298,19.043,33.3252,32.2876,55.558,-18.578,-75.624
0.3242,0.7876,0.519,18.3716,28.9917,31.0669,55.931,-19.429,-70.631
0.3447,0.7739,0.5112,19.4702,32.2876,26.7334,56.234,-20.028,-65.786
0.3296,0.7798,0.5098,13.0615,23.6816,16.8457,56.618,-20.182,-61.458
0.3467,0.7847,0.5054,8.728,17.0288,12.146,56.81,-20.248,-58.469
0.3433,0.7891,0.5024,8.8501,15.3198,12.6953,56.964,-20.429,-55.816
0.3467,0.7954,0.5015,5.6763,9.3994,6.5918,57.156,-20.599,-53.619
0.3438,0.7949,0.5029,0.3662,1.9531,0.2441,57.233,-20.566,-52.427
0.3496,0.7896,0.4976,-0.9155,-3.1128,-5.3711,57.321,-20.374,-52.234
