accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.0605,0.8848,0.4502,3.7231,0.9155,-2.1973,63.325,-4.114,-58.002
0.0654,0.8999,0.4336,5.8594,-2.9907,-2.8076,63.88,-3.939,-58.222
0.063,0.894,0.4331,1.8311,-3.9062,-2.6245,64.226,-3.807,-58.661
0.0659,0.8984,0.4297,3.2349,-5.0659,-2.6855,64.528,-3.763,-59.15
0.0679,0.9019,0.4214,1.709,-7.9956,-4.6387,64.792,-3.697,-59.892
0.061,0.9077,0.4155,2.3193,-15.2588,-9.4604,65.072,-3.604,-61.183
0.0386,0.9062,0.4126,1.2817,-31.6162,-17.0288,65.308,-3.296,-63.82
0.0356,0.9292,0.3862,1.6479,-51.5747,-26.9775,65.836,-2.977,-68.555
0.0264,0.9292,0.3755,-2.5635,-75.9888,-41.9922,66.138,-2.357,-75.767
0.0093,0.9292,0.3672,-5.8594,-99.9756,-55.2979,66.165,-1.456,-85.748
0.0,0.9219,0.3633,-14.7705,-126.6479,-40.3442,65.539,-1.307,-98.069
0.105,0.896,0.4429,-20.5688,-102.356,-50.7202,64.462,-2.115,-110.341
0.0708,0.8433,0.4888,-3.6621,-62.0117,-34.3018,63.715,-1.714,-119.745
0.082,0.8613,0.4751,6.1035,-25.3296,-4.1504,63.82,-2.197,-124.102
0.0962,0.9229,0.4199,5.7983,-10.6812,3.2349,64.501,-3.175,-125.48
0.0991,0.9067,0.4214,2.1362,-2.0142,-0.061,64.852,-3.521,-126.03
0.083,0.9014,0.4204,2.3804,4.2725,1.8311,64.979,-3.664,-125.799
0.0801,0.9126,0.415,-2.2583,8.4229,3.1128,64.957,-3.669,-125.184
0.1006,0.8892,0.4409,-3.7842,24.353,13.3667,64.468,-3.702,-123.475
0.1484,0.875,0.4565,7.6904,78.7964,41.748,64.369,-3.966,-117.845
0.1631,0.9106,0.4224,13.3667,131.0425,66.4062,64.523,-4.554,-105.639
0.106,0.9199,0.3711,17.2119,149.292,71.6553,64.759,-4.922,-89.484
0.0757,0.9321,0.3618,12.6343,128.1738,63.2935,64.984,-5.279,-73.663
0.0386,0.9146,0.3726,11.7798,80.2002,37.2314,65.248,-5.394,-61.82
0.0479,0.9385,0.3682,12.4512,25.2075,8.667,66.215,-5.18,-56.354
0.0635,0.9375,0.3647,3.1738,-1.77,-5.3101,66.962,-4.691,-55.514
