accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.1743,0.1367,0.6968,-0.061,8.5449,0.1221,14.013,11.058,-95.235
0.1851,0.1323,0.6904,1.3428,4.7607,-0.7935,13.969,10.118,-95.345
0.1841,0.1367,0.6899,0.7935,2.0752,-1.4648,13.909,8.899,-95.526
0.1919,0.1406,0.687,0.6104,-1.709,-1.2817,13.815,7.432,-95.806
0.1948,0.1406,0.6841,-0.9766,-4.2725,-2.1973,13.64,5.762,-96.152
0.1724,0.146,0.6772,-0.1831,-6.7749,-2.5024,13.398,4.059,-96.57
0.1958,0.1367,0.6929,-3.2959,-14.8315,-4.1504,13.008,1.851,-97.202
0.1826,0.1323,0.7002,-3.6011,-14.0381,-4.6997,12.563,-0.302,-97.932
0.1812,0.1265,0.7065,-3.479,-16.6016,-5.6763,12.129,-2.466,-98.789
0.1729,0.1362,0.7026,-2.5024,-32.8979,-12.146,11.827,-5.098,-100.052
0.1821,0.123,0.7139,-1.4038,-34.8511,-9.5825,11.7,-8.476,-101.788
0.2046,0.1387,0.7158,-0.9766,-40.3442,-12.2681,11.805,-11.948,-103.535
0.1987,0.1328,0.7236,-1.0986,-37.5977,-9.5215,11.959,-15.364,-105.337
0.1865,0.126,0.7305,-2.7466,-44.6777,-14.7095,12.244,-18.957,-107.342
0.187,0.1299,0.7319,-1.4648,-52.9785,-21.4844,12.975,-23.313,-110.22
0.1382,0.144,0.7065,-4.9438,-60.4248,-27.2827,14.376,-27.812,-114.208
0.1128,0.1094,0.7349,-4.8218,-63.2935,-22.7051,15.958,-32.042,-118.751
0.1289,0.1206,0.7505,-4.7607,-68.6035,-29.2358,17.902,-36.008,-123.195
0.1221,0.1323,0.7725,-4.9438,-61.8286,-28.5645,20.462,-39.391,-128.622
0.1172,0.0903,0.8086,-4.0894,-55.2368,-20.4468,22.527,-41.99,-133.456
0.1147,0.1055,0.7988,0.4272,-35.5835,-14.5874,24.131,-43.649,-137.087
0.0952,0.0972,0.8164,-2.9907,-21.6064,-4.8218,24.236,-43.995,-138.878
0.1128,0.1104,0.8066,-0.1831,-2.9297,5.6763,23.038,-42.753,-138.071
0.124,0.104,0.8154,-2.7466,-0.4883,3.418,21.407,-40.853,-136.642
0.1533,0.0947,0.8306,0.9766,14.5874,4.7607,19.847,-38.463,-135.247
0.1738,0.0986,0.832,3.2959,37.4146,19.4092,17.715,-34.876,-132.358
0.1797,0.1157,0.7871,10.498,81.543,38.6353,14.832,-28.724,-126.81
0.1509,0.1255,0.7505,3.6011,89.1724,38.9404,12.244,-20.446,-120.465
0.146,0.126,0.7432,3.2349,74.8291,30.5786,11.019,-12.684,-115.505
0.167,0.1187,0.7451,5.7373,61.3403,25.4517,10.8,-6.559,-111.594
0.168,0.1367,0.7183,4.1504,53.772,18.1274,11.19,-1.522,-108.506
0.1279,0.1299,0.7212,3.9062,45.2881,14.0991,11.541,2.604,-106.375
0.1357,0.1216,0.7256,5.3711,39.1235,12.8174,12.041,5.63,-104.403
0.1548,0.1328,0.7065,8.0566,32.5317,9.1553,12.788,7.734,-102.618
0.167,0.1426,0.6982,4.3945,29.1138,9.4604,13.392,9.272,-101.102
0.1929,0.1343,0.7041,-0.4272,26.3672,10.6812,13.64,10.41,-99.531
0.1792,0.1284,0.7007,0.9766,23.3154,6.6528,13.722,11.31,-98.185
0.1641,0.1353,0.6943,2.6855,9.8877,5.4321,13.854,11.459,-97.322
0.1812,0.1392,0.6943,1.3428,1.0986,-0.3052,13.887,10.47,-97.174
