accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.2363,0.772,0.5854,-0.6714,-1.8921,1.5259,52.438,-15.623,-35.975
0.2505,0.7769,0.5854,-1.8921,-5.249,2.8687,52.377,-15.914,-36.442
0.2617,0.7666,0.5845,-4.0283,-7.3242,4.2725,52.202,-16.501,-36.991
0.2754,0.7617,0.5908,-5.3101,-9.8267,5.8594,51.883,-17.32,-37.628
0.2886,0.752,0.5884,-7.3853,-13.3057,13.1226,51.394,-18.66,-38.172
0.3296,0.7319,0.5889,-9.7656,-16.8457,19.043,50.625,-20.698,-38.529
0.376,0.7056,0.5889,-9.3384,-17.1509,22.7661,49.735,-23.192,-38.639
0.4106,0.688,0.5898,-12.9395,-26.9165,27.2217,48.741,-26.268,-38.793
0.501,0.6338,0.5703,-18.7378,-34.729,35.0952,47.39,-30.515,-39.243
0.5688,0.5728,0.5591,-13.3057,-36.0718,27.4048,46.126,-34.777,-39.705
0.6255,0.5273,0.52,-9.4604,-42.3584,33.9355,45.588,-39.397,-40.589
0.7134,0.4854,0.4751,-7.5073,-43.5791,41.687,45.22,-44.885,-41.056
0.8003,0.4136,0.4248,-10.7422,-40.9546,36.499,44.506,-50.51,-41.045
0.8774,0.3447,0.3794,-10.2539,-32.8979,25.1465,44.039,-55.206,-41.666
0.8984,0.3218,0.3403,-0.061,-26.3672,14.2822,44.61,-58.502,-42.534
0.9326,0.311,0.29,1.4648,-16.7236,11.5967,45.989,-60.936,-43.676
0.9326,0.3008,0.2798,2.7466,-3.54,4.1504,46.379,-62.336,-43.506
0.9194,0.3076,0.2837,-0.9766,0.9766,1.5869,46.302,-62.792,-42.946
0.9062,0.3032,0.3008,-0.5493,0.9766,0.2441,45.956,-62.886,-42.292
0.9014,0.3052,0.3032,1.5869,2.1973,-1.0986,45.884,-62.858,-41.792
0.9136,0.3203,0.3008,1.8921,9.8877,-3.479,45.797,-62.496,-41.237
0.9443,0.3047,0.3071,2.9907,17.8223,-10.8643,45.011,-61.419,-39.787
0.8955,0.3296,0.3408,6.5308,27.4658,-20.1416,44.659,-58.931,-38.529
0.8154,0.375,0.3862,10.5591,29.0527,-20.752,44.758,-55.673,-37.337
0.7949,0.4131,0.4155,10.6812,28.8696,-18.4326,44.907,-52.608,-35.914
0.7681,0.4482,0.4463,5.3711,26.001,-22.644,45.038,-49.526,-35.013
0.709,0.4932,0.4775,9.0332,26.9165,-29.1138,45.72,-45.956,-34.81
0.6699,0.5386,0.4951,13.1836,27.771,-32.8369,47.104,-42.067,-34.991
0.603,0.5884,0.5205,8.606,27.6489,-34.9731,48.362,-37.815,-35.239
0.5347,0.6353,0.5381,6.1035,24.1089,-31.4941,49.246,-33.827,-35.59
0.4751,0.6724,0.5586,6.4697,24.231,-25.8789,49.839,-30.179,-35.634
0.4233,0.6904,0.5649,9.3994,21.6675,-23.0713,50.554,-26.966,-35.563
0.3848,0.7251,0.5698,9.8877,20.9961,-20.874,51.422,-24.044,-35.447
0.3325,0.7476,0.5674,6.4087,26.5503,-23.0713,51.998,-20.978,-35.134
0.2729,0.77,0.5791,2.9907,15.3198,-8.2397,52.213,-18.611,-34.662
0.2554,0.7783,0.584,2.5024,11.6577,-5.0659,52.328,-17.254,-34.316
0.2451,0.7715,0.582,-0.1831,4.2725,-1.8921,52.311,-16.529,-34.233
0.2505,0.7759,0.585,-1.0986,0.6104,-1.0986,52.3,-16.199,-34.525
0.2534,0.77,0.5854,-1.5869,-0.9155,0.3052,52.24,-16.078,-34.876
