accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.2246,0.8037,0.5571,-4.6387,5.3711,6.8359,54.564,-15.617,-42.369
0.252,0.7842,0.5679,-2.4414,0.9155,7.7515,54.014,-15.958,-42.056
0.2588,0.7769,0.5684,1.3428,-0.1831,6.2256,53.888,-16.364,-41.924
0.2158,0.7949,0.5713,-3.1738,-5.249,12.5732,53.745,-17.062,-41.869
0.2822,0.7798,0.5708,-6.4087,-18.3716,24.292,53.207,-19.127,-42.05
0.3335,0.7441,0.5542,-7.2632,-22.2168,18.8599,52.679,-21.764,-42.682
0.4219,0.7266,0.542,-7.9346,-26.7334,31.8604,52.245,-25.054,-43.456
0.4932,0.6729,0.5386,-10.0708,-20.752,26.8555,51.372,-28.625,-43.44
0.5547,0.6382,0.5225,-9.1553,-18.3716,15.4419,50.543,-31.426,-43.775
0.5752,0.6265,0.5269,-4.3945,-12.5122,14.5874,50.026,-33.42,-44.006
0.5605,0.6421,0.5137,-5.127,-9.7046,25.0244,49.444,-35.491,-43.555
0.623,0.5679,0.5122,-11.7188,-19.043,46.3257,47.543,-39.216,-41.841
0.6587,0.5083,0.5034,-13.7329,-24.1699,46.4478,45.005,-43.638,-39.611
0.7695,0.4014,0.4741,-13.5498,-34.5459,42.3584,42.424,-48.862,-37.892
0.8413,0.3433,0.4346,-10.0098,-30.8838,23.1934,41.061,-53.256,-37.397
0.8491,0.3057,0.3911,-9.0332,-35.4004,16.6016,41.144,-56.783,-38.463
0.9399,0.2939,0.3345,-2.6245,-24.1089,14.2212,41.852,-60.211,-39.738
0.9487,0.2695,0.3091,-1.2207,-7.8125,4.1504,42.253,-62.106,-40.084
0.9185,0.2842,0.313,1.5869,2.2583,-4.0894,42.594,-62.435,-40.177
0.895,0.3008,0.3286,1.77,6.7749,-1.5869,42.616,-62.062,-39.716
0.9092,0.2939,0.3369,-0.2441,6.4697,-0.4883,42.028,-61.661,-38.666
0.9302,0.2778,0.3438,4.6387,19.7144,-7.019,41.116,-60.743,-37.205
0.8701,0.3135,0.3838,8.728,28.3203,-14.8926,40.485,-58.48,-35.392
0.8384,0.3354,0.4194,11.2305,31.0669,-17.7612,40.325,-55.525,-33.86
0.8022,0.3706,0.4512,12.9395,33.8745,-20.874,40.583,-52.092,-32.47
0.7607,0.4233,0.479,14.5874,35.7056,-25.4517,41.32,-48.224,-31.454
0.6841,0.4824,0.5151,15.2588,40.2832,-30.7007,42.314,-43.698,-30.586
0.6196,0.5303,0.5493,12.146,40.4663,-38.3301,43.429,-38.738,-30.19
0.5352,0.5728,0.5835,11.9629,37.7808,-42.9077,44.714,-33.327,-30.504
0.418,0.6309,0.6104,17.0288,36.6211,-38.6963,46.258,-27.966,-30.762
0.3418,0.6982,0.6138,16.1743,24.231,-29.6631,47.966,-23.604,-31.091
0.3022,0.7339,0.605,11.4746,18.3105,-23.3154,49.246,-20.457,-31.465
0.2656,0.7524,0.604,9.4604,12.6953,-19.3481,50.268,-17.941,-31.981
0.2295,0.7705,0.5991,7.5684,10.6812,-17.9443,51.224,-15.749,-32.695
0.1929,0.7852,0.6016,0.8545,3.8452,-9.8877,51.707,-14.183,-33.404
0.1997,0.7812,0.5986,-1.8921,0.8545,-1.8921,51.724,-13.563,-34.036
0.2041,0.771,0.6025,-2.1362,-1.8311,1.5869,51.526,-13.53,-34.415
0.2178,0.7568,0.6006,-0.3662,-1.9531,0.3052,51.476,-13.651,-34.876
0.2314,0.7549,0.6021,0.3052,-3.3569,-1.8921,51.531,-13.727,-35.486
0.2319,0.7632,0.6001,2.4414,1.2207,-2.7466,51.531,-13.711,-35.925
0.2021,0.7812,0.6055,1.4648,0.3052,-0.2441,51.812,-13.431,-36.156
0.2144,0.7588,0.603,-3.6621,-5.249,-0.3662,51.691,-13.486,-36.645
0.2324,0.7607,0.6016,-1.0986,-1.77,-1.0376,51.548,-13.656,-37.315
0.2168,0.7642,0.6055,0.1831,0.3052,-0.3662,51.52,-13.541,-37.584
0.2236,0.7734,0.6035,3.9673,-1.5869,0.5493,51.691,-13.557,-37.903
0.23,0.7803,0.5918,0.7935,-2.3193,1.6479,52.13,-13.667,-38.205
0.2383,0.77,0.5889,-0.4272,0.0,1.4648,52.064,-13.881,-38.441
0.2339,0.771,0.5874,2.0142,1.8311,1.709,52.136,-13.947,-38.425
0.2256,0.7769,0.5884,0.7935,0.4883,1.1597,52.289,-13.909,-38.326
0.2236,0.7681,0.585,-0.1221,-4.5776,0.6104,52.273,-14.008,-38.551
0.2529,0.7603,0.5762,1.5259,-5.7373,-0.5493,52.366,-14.326,-39.111
0.2759,0.7729,0.562,0.7935,-0.1831,-2.5635,52.767,-14.464,-39.683
0.2363,0.7612,0.5615,-0.1221,2.1362,-3.418,52.696,-14.216,-39.705
0.2334,0.7749,0.5854,-3.0518,3.54,-4.0894,52.718,-13.881,-39.858
0.2285,0.7515,0.5933,-1.0986,3.0518,-5.9814,52.625,-13.206,-39.974
0.1929,0.7754,0.6099,-10.1929,7.019,1.8921,52.081,-12.695,-39.946
