accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.022,0.6226,0.7852,1.8921,-6.897,0.1831,37.617,-2.571,-35.239
0.0645,0.6133,0.7842,0.8545,-5.6763,-1.5259,37.716,-3.087,-36.008
0.0439,0.6338,0.7842,0.3662,-0.4272,-3.3569,37.941,-3.049,-36.628
0.0698,0.6143,0.7798,-3.2349,-3.9062,0.4272,37.771,-3.235,-37.112
0.0635,0.603,0.7905,-1.77,2.1973,2.0142,37.518,-3.389,-37.255
0.043,0.603,0.7959,0.1221,-0.4883,-0.4272,37.43,-3.274,-37.233
0.0469,0.6045,0.7925,-0.1221,-1.709,-2.9297,37.441,-3.214,-37.683
0.0576,0.6094,0.7905,1.5869,-2.1973,-0.6714,37.54,-3.268,-38.156
0.0552,0.6177,0.7871,0.6714,-1.4648,2.5635,37.678,-3.422,-38.397
0.0337,0.6182,0.7905,0.0,-3.2959,5.5542,37.7,-3.774,-38.403
-0.0342,0.6255,0.7861,1.77,-23.8037,14.8315,37.87,-4.752,-38.551
-0.0449,0.6309,0.7612,4.0894,-55.6641,36.8652,38.392,-8.91,-39.276
0.147,0.5518,0.6475,0.4883,-101.8677,65.1245,38.859,-18.666,-40.605
0.7041,0.5342,0.5483,-10.376,-122.3755,68.9697,39.688,-31.86,-43.066
0.9097,0.4121,0.4932,-39.0015,-92.8345,41.1377,38.776,-43.303,-46.23
0.8818,0.3481,0.4619,-5.3101,-12.3291,22.583,37.452,-47.961,-45.824
0.8398,0.3701,0.4907,-4.7607,2.1973,6.5308,36.063,-48.439,-42.621
0.9033,0.3296,0.4951,-7.2021,13.4277,-2.7466,35.2,-48.724,-41.885
0.8521,0.3311,0.5264,3.2959,60.791,-27.3438,33.926,-44.665,-39.271
0.7095,0.3779,0.605,-5.5542,69.2139,-39.1235,33.206,-37.969,-37.645
0.5098,0.4028,0.6763,-0.8545,93.3838,-54.2603,32.635,-28.998,-36.293
0.1841,0.5054,0.7866,9.0942,82.7026,-58.5938,33.107,-18.369,-35.75
0.1406,0.5425,0.8066,4.9438,55.8472,-26.1841,33.585,-11.305,-35.42
0.0293,0.5605,0.8311,0.6104,35.3394,-4.6387,33.651,-6.888,-34.426
0.0122,0.5513,0.8291,0.2441,13.4277,1.709,33.668,-5.07,-33.607
0.0337,0.5493,0.8335,1.709,-2.5635,-0.7935,33.766,-4.554,-33.915
0.0635,0.5498,0.8257,3.6621,-3.8452,-0.2441,34.041,-4.697,-34.717
0.0576,0.5679,0.814,8.9722,5.6763,-3.7842,34.673,-4.406,-35.261
0.0762,0.584,0.8076,5.4321,-3.54,2.8687,35.316,-4.373,-35.629
0.0796,0.5845,0.7988,2.6855,-0.9155,-0.1221,35.728,-4.482,-35.953
0.0649,0.6025,0.8066,2.3804,-2.8687,-1.77,36.09,-4.488,-36.425
0.0718,0.5938,0.7993,1.709,1.2207,-4.3945,36.293,-4.417,-37.029
0.0781,0.5869,0.7998,1.5869,-1.8311,0.6104,36.409,-4.417,-37.419
0.083,0.6021,0.7954,2.9297,1.77,-1.5869,36.678,-4.51,-37.7
0.0718,0.604,0.7935,1.8921,1.5259,-0.2441,36.936,-4.153,-37.831
0.0518,0.6113,0.7876,2.9907,1.6479,-1.5869,37.189,-3.862,-38.002
