accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.208,0.7612,0.6104,-1.8921,-0.5493,1.2207,50.889,-13.326,-34.843
0.2065,0.7612,0.6157,-2.8687,-2.9297,2.6245,50.691,-13.453,-35.184
0.2109,0.7554,0.6143,-3.6621,-5.0659,3.6621,50.438,-13.854,-35.629
0.2256,0.7476,0.6172,-4.5166,-8.2397,7.9346,50.087,-14.645,-36.096
0.2271,0.7471,0.625,-5.6152,-13.916,12.6953,49.686,-15.985,-36.562
0.2671,0.7344,0.624,-7.4463,-24.1089,20.6299,49.197,-18.391,-37.271
0.3359,0.7085,0.6079,-9.3994,-30.8228,27.5269,48.609,-21.879,-38.057
0.4209,0.6704,0.5923,-10.6812,-33.8135,32.4097,47.823,-26.049,-38.694
0.5073,0.6182,0.5732,-9.8267,-32.3486,41.2598,46.824,-30.756,-38.743
0.5913,0.5737,0.5513,-6.6528,-30.7007,36.7432,45.868,-35.563,-38.172
0.644,0.5288,0.5254,-11.7798,-32.8979,34.4238,44.775,-40.067,-37.831
0.7119,0.4585,0.4985,-7.5684,-31.6772,36.499,43.495,-44.67,-37.244
0.7485,0.418,0.4653,-9.2773,-39.1846,33.4473,42.506,-49.373,-36.694
0.8418,0.3501,0.4023,-9.6436,-41.5649,34.1187,41.83,-54.602,-36.859
0.8838,0.312,0.3623,-5.7373,-22.2168,26.4282,40.688,-58.727,-36.008
0.8936,0.2461,0.3369,-6.4697,-20.5688,18.3716,39.348,-61.732,-34.904
0.9702,0.2134,0.2979,1.0376,-17.395,5.4321,39.611,-64.144,-35.217
0.9482,0.2471,0.2754,5.188,-3.1128,0.0,40.82,-65.16,-35.799
0.9346,0.2544,0.2778,1.9531,0.3662,-1.1597,41.204,-65.473,-35.557
0.9224,0.2578,0.2871,-1.0376,2.6245,-1.2207,41.221,-65.407,-35.228
0.9414,0.2456,0.2939,2.1973,5.188,-3.3569,41.094,-65.094,-34.7
0.9287,0.2617,0.3003,4.7607,9.2773,-4.3945,41.05,-64.352,-33.816
0.9434,0.2681,0.3115,3.0518,19.2261,-13.855,41.039,-63.007,-33.069
0.8833,0.2939,0.3511,3.9062,20.874,-18.7988,41.094,-60.557,-32.388
0.8765,0.3247,0.3774,6.5308,21.9727,-24.5361,41.99,-57.876,-32.624
0.8149,0.3872,0.4116,10.5591,29.541,-27.71,43.132,-54.371,-32.635
0.7437,0.4487,0.4487,10.7422,29.9683,-26.3672,44.066,-50.554,-32.217
0.7139,0.4922,0.4771,8.9111,27.3438,-25.8179,44.824,-46.945,-31.822
0.6724,0.5356,0.499,7.9346,26.6724,-26.1841,45.604,-43.429,-31.624
0.6206,0.561,0.5322,6.2256,27.2217,-28.8696,46.269,-39.76,-31.443
0.5659,0.5918,0.5547,5.0659,25.8179,-33.3862,46.978,-35.887,-31.69
0.4932,0.6387,0.5762,4.3335,22.9492,-32.5317,47.736,-31.888,-32.234
0.4224,0.6787,0.5938,5.4321,20.2637,-29.9072,48.483,-28.196,-32.921
0.3872,0.6914,0.5908,5.8594,14.2822,-25.2686,49.191,-25.131,-33.591
0.3359,0.7197,0.5957,5.9814,11.0474,-29.6631,50.114,-22.236,-34.673
0.2915,0.7539,0.5986,4.0894,5.127,-27.9541,51.07,-19.435,-36.288
0.2695,0.7661,0.5913,2.7466,4.0283,-16.4795,51.696,-17.551,-37.639
0.2471,0.7759,0.5889,0.3662,1.77,-6.1035,51.993,-16.529,-38.436
0.252,0.7715,0.5884,-1.8921,0.3052,4.2725,51.905,-16.474,-38.677
