accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.2617,0.0796,0.8384,1.4038,47.5464,-0.9766,15.216,-17.271,-76.295
0.1641,0.1094,0.7954,2.3804,55.7861,3.1738,14.656,-11.92,-75.855
0.1357,0.1099,0.7852,3.479,72.0825,11.4746,14.013,-6.361,-74.927
0.1108,0.1133,0.7549,8.2397,79.895,22.522,13.92,0.11,-72.839
0.0996,0.0918,0.7505,3.2959,70.0684,15.7471,13.936,6.746,-70.439
0.1128,0.1377,0.7407,-2.1973,62.9883,12.085,14.068,11.722,-68.873
0.1045,0.147,0.7212,-4.3335,76.4771,19.5923,14.326,16.425,-66.423
0.0176,0.1226,0.7529,-13.5498,45.9595,9.0942,14.568,20.308,-61.249
0.0811,0.0884,0.769,-9.1553,26.3672,7.7515,15.073,22.352,-54.163
0.147,0.0952,0.8052,-9.1553,22.9492,0.7324,15.98,24.06,-46.346
0.0098,0.0942,0.8159,-7.3242,28.1982,-3.418,16.721,24.664,-39.803
-0.0439,0.1079,0.7671,-3.7231,5.8594,-4.5776,17.891,24.34,-32.932
0.0576,0.103,0.8145,-5.9814,-1.2207,1.0986,18.358,23.082,-27.076
0.1167,0.0679,0.8354,-8.1177,-0.1221,-1.5259,18.545,21.764,-21.912
0.0464,0.0674,0.8433,-6.6528,-2.3193,-2.9297,18.479,20.468,-16.963
0.0439,0.0752,0.8389,-0.2441,-11.3525,-4.3945,18.325,18.331,-12.656
-0.0337,0.106,0.8218,-5.5542,-42.5415,-13.0615,17.704,14.804,-9.954
0.1226,0.0605,0.8643,-0.3052,-78.6743,-8.3618,16.419,7.625,-10.371
0.1069,0.0293,0.9209,11.9629,-56.5186,-13.6108,15.963,0.928,-11.843
0.0825,0.1006,0.8486,5.3711,-41.748,0.3662,16.155,-3.713,-15.32
0.1226,0.1108,0.8237,6.5918,-53.9551,-0.2441,16.403,-7.949,-19.149
0.2065,0.0889,0.8511,-2.0752,-71.7163,-11.7188,16.501,-13.513,-24.609
0.2583,0.0884,0.8501,2.9907,-66.7725,-18.0054,17.029,-19.259,-31.13
0.2485,0.105,0.8076,-1.4648,-55.6641,-21.9116,18.331,-23.824,-37.908
0.1982,0.0859,0.8481,-3.1738,-41.4429,-16.4185,19.276,-26.867,-44.324
0.2065,0.0913,0.8423,-0.7935,-27.5269,-10.2539,19.803,-28.85,-49.29
0.2422,0.064,0.8716,0.4883,-26.9165,-5.9204,20.089,-30.339,-53.987
0.2495,0.0879,0.8652,4.8828,-13.6719,3.1738,20.056,-30.828,-56.92
0.2466,0.0815,0.8506,0.8545,-7.6294,-2.1362,20.006,-30.674,-59.376
0.2583,0.0698,0.8628,5.188,-8.8501,-3.2959,19.902,-30.333,-61.831
0.2593,0.0977,0.8335,2.6245,-7.6904,-2.9297,20.072,-29.883,-64.023
0.2363,0.1143,0.8027,7.3853,-6.958,-2.5024,20.358,-29.405,-66.292
0.2393,0.1216,0.7979,3.6621,-0.6104,2.1973,20.336,-28.817,-68.077
0.2427,0.1133,0.7988,-3.479,-6.5918,-1.5869,19.863,-28.405,-69.906
0.2383,0.0874,0.8389,-5.7373,2.9297,2.4414,18.825,-27.784,-71.444
0.2256,0.0845,0.8516,-3.9673,0.9766,2.0142,17.633,-26.845,-72.169
0.251,0.0894,0.8403,1.77,-2.9907,-1.3428,17.062,-26.351,-73.455
0.2476,0.0947,0.8228,-0.2441,3.6011,-0.4272,16.655,-25.593,-74.724
0.2437,0.1187,0.8179,-2.7466,4.2725,-0.7935,16.073,-24.692,-75.657
0.2593,0.0874,0.8364,3.0518,8.2397,0.2441,15.386,-23.621,-76.476
0.2334,0.0859,0.8198,0.6714,4.1504,-2.3193,15.018,-22.637,-77.432
0.2271,0.0996,0.8223,3.2959,9.2773,1.4648,14.683,-21.66,-78.162
0.2178,0.1113,0.8159,2.0752,12.3901,2.4414,14.31,-20.429,-78.668
0.2319,0.1069,0.8276,2.8076,12.8784,2.3804,13.936,-19.089,-79.195
0.2612,0.0845,0.8398,4.2114,28.8086,2.8076,13.535,-17.029,-79.623
