accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.1079,0.939,0.3389,-2.0142,-1.8311,7.0801,70.054,-4.345,-76.459
0.0996,0.9312,0.3457,-2.6245,4.5776,7.3853,69.747,-5.081,-75.399
0.1035,0.9238,0.3496,-1.6479,0.3052,3.3569,69.483,-5.526,-74.493
0.1108,0.9297,0.3555,-0.5493,-0.061,2.8687,69.384,-5.834,-73.932
0.1152,0.9321,0.3555,-1.709,1.6479,1.3428,69.28,-6.015,-73.339
0.1113,0.9185,0.3608,-1.6479,2.1362,1.8921,69.016,-6.108,-72.653
0.1084,0.9238,0.3599,-1.0376,1.709,0.4272,68.906,-6.163,-72.032
0.124,0.9214,0.3667,1.0376,2.4414,2.5024,68.857,-6.207,-71.488
0.1606,0.9185,0.3774,1.8311,21.5454,9.3384,68.807,-6.411,-69.89
0.1494,0.9233,0.3618,4.0894,49.4385,17.4561,68.643,-6.405,-65.638
0.1475,0.9224,0.3682,2.6855,72.0825,27.5269,68.154,-6.432,-58.722
0.1826,0.915,0.3672,-0.4272,96.0083,34.4849,67.352,-6.367,-49.499
0.3423,0.9482,0.3467,-14.3433,196.8994,61.6455,65.544,-5.614,-35.239
-0.1182,0.875,0.3848,-11.1694,174.6826,64.5752,62.617,-2.862,-14.024
-0.0928,0.8887,0.4287,18.7988,22.3999,-5.7983,63.083,-1.11,-6.317
-0.0088,0.9346,0.3867,11.0474,-1.4648,0.1831,65.083,-0.324,-7.773
-0.0581,0.9351,0.3853,-0.9766,-17.7612,-3.418,65.753,0.0,-9.465
-0.0601,0.9082,0.3921,4.1504,-68.3594,-27.6489,65.896,-0.489,-14.766
-0.0557,0.939,0.3457,19.8364,-145.0195,-55.1147,67.352,-0.494,-27.252
0.0269,0.9731,0.293,16.7847,-165.4663,-78.9795,69.472,0.203,-44.451
0.0132,0.9814,0.3032,2.6245,-154.48,-83.0078,70.115,2.401,-62.062
0.0205,0.9087,0.3652,-0.8545,-90.4541,-32.2876,69.401,3.455,-75.388
0.0254,0.9214,0.3691,-1.1597,-17.395,18.1274,69.099,1.813,-79.371
