accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.0737,0.9482,0.2925,-1.77,-1.0986,5.5542,72.686,-3.763,-75.992
0.0664,0.9482,0.2969,-1.6479,1.4648,5.8594,72.493,-4.318,-75.278
0.0884,0.9492,0.3027,-1.6479,-1.5869,3.7842,72.339,-4.85,-74.817
0.0996,0.9458,0.311,-2.8076,-0.5493,4.0283,72.12,-5.24,-74.449
0.1021,0.9419,0.3154,-4.0283,0.5493,1.2207,71.768,-5.515,-73.993
0.1021,0.9312,0.3247,-1.8921,-1.0376,1.3428,71.428,-5.614,-73.625
0.106,0.9404,0.3193,0.061,0.1221,0.0,71.411,-5.702,-73.372
0.106,0.9478,0.3198,-1.77,2.4414,0.4272,71.345,-5.696,-72.944
0.0962,0.938,0.3223,-1.8311,2.0142,0.4883,71.12,-5.647,-72.394
0.1016,0.9312,0.3311,-0.061,1.1597,0.6104,70.983,-5.641,-71.944
0.1123,0.9473,0.3237,-0.1221,3.8452,0.4883,71.01,-5.658,-71.488
0.1157,0.9316,0.3315,0.061,12.8784,6.1035,70.851,-5.68,-70.395
0.1348,0.9424,0.3359,-1.2817,34.3628,15.7471,70.582,-5.977,-67.615
0.1465,0.9268,0.3486,-0.4272,56.0303,24.4141,69.862,-6.443,-62.298
0.1655,0.9536,0.3408,-3.418,78.7964,32.4707,69.027,-6.812,-54.827
0.1572,0.8994,0.376,-5.6763,114.3799,47.6685,67.192,-6.899,-44.269
0.0884,0.9106,0.3921,-3.54,123.1079,54.0771,65.187,-7.048,-31.284
0.0542,0.8916,0.4136,4.3945,75.5005,32.5928,63.995,-6.68,-21.204
0.085,0.9048,0.4243,4.9438,32.2266,12.3291,64.012,-6.306,-16.727
0.0996,0.9082,0.4185,5.188,9.9487,0.4272,64.462,-5.949,-15.87
0.0806,0.9062,0.4097,2.8687,1.8311,-0.3662,64.946,-5.603,-16.381
0.0781,0.9102,0.4092,3.54,-16.2964,-1.8921,65.352,-5.79,-17.913
0.0991,0.9238,0.3989,3.479,-32.1655,-15.0757,65.967,-5.977,-21.253
0.0737,0.9272,0.3643,0.6714,-72.2656,-32.6538,66.83,-5.784,-27.46
0.0796,0.9268,0.354,3.7842,-101.3184,-55.9082,68.0,-4.905,-37.76
0.0708,0.9209,0.3291,6.2256,-107.7271,-57.4951,69.362,-3.395,-49.636
0.0444,0.9707,0.3193,8.4229,-98.3887,-48.4009,70.774,-1.967,-60.716
0.063,0.9478,0.3193,0.9155,-72.3877,-27.5879,71.351,-1.214,-69.686
0.0562,0.9399,0.3276,-3.2959,-30.5176,-1.8921,71.323,-1.599,-74.35
0.0566,0.9365,0.3311,-6.0425,-10.6812,7.6294,70.807,-2.752,-75.438
