accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.3496,0.7866,0.5127,-4.2114,-3.8452,3.9673,56.393,-17.946,-46.258
0.3281,0.7808,0.5288,-4.2114,3.418,2.1362,55.937,-18.303,-45.807
0.3193,0.7725,0.54,-4.7607,1.4648,-0.7935,55.432,-18.237,-45.401
0.3193,0.7671,0.5459,-2.4414,-0.3662,-0.3052,55.096,-18.199,-45.302
0.3262,0.769,0.543,0.4883,-0.3052,-0.1831,55.058,-18.248,-45.275
0.3242,0.7749,0.542,2.1362,0.3052,0.5493,55.184,-18.303,-45.11
0.3281,0.7715,0.5356,2.2583,2.5024,2.1973,55.305,-18.369,-44.824
0.3447,0.7612,0.5298,9.5825,11.2305,19.4702,55.41,-18.902,-43.451
0.3872,0.7632,0.5078,23.1934,30.7007,33.3862,56.008,-20.121,-39.699
0.3823,0.7842,0.4961,30.3345,46.936,40.7104,56.678,-21.072,-33.64
0.3999,0.8076,0.4761,26.8555,56.1523,49.8047,56.926,-21.956,-26.472
0.479,0.7661,0.4653,42.9688,95.52,84.8999,56.074,-23.851,-15.463
0.3506,0.7593,0.5127,34.668,94.5435,58.8989,54.728,-24.241,-1.736
0.3525,0.7251,0.541,32.1045,63.5376,32.0435,54.135,-23.362,7.361
0.3296,0.7856,0.5322,21.4844,24.8413,0.9766,55.058,-21.978,11.387
0.3491,0.7969,0.5029,15.9912,20.3857,2.6245,56.261,-20.847,12.788
0.3032,0.8188,0.5054,9.5825,8.9111,2.8687,57.014,-20.259,14.068
0.3345,0.8091,0.5054,-2.2583,3.7842,0.1221,57.167,-20.045,14.2
0.3174,0.7827,0.5229,-10.8032,-2.9907,-5.4321,56.552,-19.693,13.64
0.3428,0.7583,0.5269,2.0142,-3.1128,-2.2583,56.277,-19.594,12.689
0.3267,0.8149,0.5103,1.3428,0.4883,-0.6104,56.662,-19.528,12.211
0.3252,0.7944,0.5117,-6.4697,-8.8501,-9.8267,56.574,-19.396,11.365
0.2773,0.7939,0.5273,-16.0522,-27.0386,-23.4985,56.25,-18.896,8.767
0.2764,0.832,0.5225,-36.8042,-60.0586,-68.6646,55.882,-17.397,1.763
0.3403,0.7769,0.5249,-25.8179,-55.0537,-37.5366,55.036,-16.425,-6.839
0.2925,0.7695,0.5391,-11.7798,-37.1704,-20.874,54.937,-16.831,-12.156
0.2847,0.7778,0.542,-16.2964,-43.0908,-22.2168,55.091,-17.457,-16.545
0.3091,0.7529,0.5361,-19.165,-49.4995,-30.5786,55.036,-17.902,-21.956
0.3198,0.7622,0.5317,-17.334,-44.2505,-24.4751,54.97,-18.336,-27.537
0.3452,0.7559,0.5293,-7.4463,-42.8467,-27.2827,55.404,-18.88,-32.476
0.3589,0.7822,0.5068,-0.8545,-35.4004,-28.3203,56.629,-18.748,-37.359
0.3374,0.8052,0.4917,1.4038,-21.4844,-17.4561,57.755,-18.501,-40.814
0.3091,0.8203,0.4863,-0.3052,-19.5312,-16.0522,58.705,-18.287,-43.094
0.3184,0.8359,0.4751,-9.2773,-22.8271,-21.3013,59.26,-17.726,-45.895
0.3223,0.8291,0.4766,-12.0239,-17.395,-8.7891,58.98,-17.523,-48.312
0.3218,0.7964,0.4917,-7.6904,-15.2588,-3.479,58.524,-18.122,-49.625
0.3472,0.7866,0.4829,1.9531,-12.2681,-11.5356,58.865,-18.133,-51.196
0.332,0.8281,0.4683,7.3853,-0.8545,-1.0376,59.738,-18.007,-51.773
