accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.2012,0.061,0.9067,3.1738,20.0195,6.7749,16.057,-23.719,-74.91
0.2012,0.0664,0.9082,1.6479,20.1416,7.5073,15.167,-21.368,-74.778
0.2021,0.064,0.9043,2.8687,29.6021,7.019,14.332,-18.649,-74.641
0.1768,0.0718,0.894,3.6621,40.1001,10.3149,13.651,-15.134,-74.037
0.1499,0.0674,0.8916,3.9062,43.2739,11.7188,12.958,-11.058,-73.174
0.1455,0.0659,0.8774,2.1973,53.833,20.2637,12.272,-6.389,-71.642
0.1699,0.0796,0.8701,3.2959,58.8989,20.874,11.777,-1.368,-69.703
0.1519,0.0928,0.8481,3.7231,67.5049,17.395,11.75,3.543,-67.786
0.1128,0.0923,0.835,5.8594,84.7778,19.6533,12.134,9.245,-65.665
0.0454,0.0991,0.7974,6.5308,83.6182,20.4468,13.096,15.93,-62.71
0.0532,0.1128,0.7856,2.6855,61.8896,15.564,14.359,21.116,-59.035
0.0034,0.0928,0.8008,2.2583,38.269,10.0098,15.974,23.989,-52.855
0.0444,0.083,0.7773,5.7983,16.4185,1.0376,18.232,25.285,-45.511
0.0781,0.1099,0.7627,5.5542,12.3291,-1.77,20.253,25.615,-38.815
0.0278,0.1099,0.7627,0.9155,1.5259,-5.6152,21.302,24.791,-33.201
0.0107,0.1016,0.7769,-0.3052,-6.3477,-3.9673,21.693,22.983,-28.065
0.0234,0.1162,0.7651,0.7935,-10.1318,-5.8594,22.05,20.764,-23.351
0.0088,0.1133,0.7642,0.6714,-13.9771,-1.1597,22.297,18.386,-19.072
0.0093,0.1191,0.7603,-1.5869,-18.0664,5.0049,22.385,15.826,-14.431
-0.0205,0.0996,0.7808,-7.7515,-51.0864,-3.6011,21.319,11.613,-12.321
0.0806,0.0972,0.7793,-2.3193,-91.3086,-3.1128,19.863,4.268,-16.49
0.1899,0.1104,0.7969,-1.0986,-79.3457,-13.2446,18.99,-3.549,-22.654
0.1738,0.0947,0.8193,-5.6152,-52.7954,-8.3618,18.023,-9.014,-27.966
0.1978,0.0981,0.8262,-1.4648,-59.6313,-12.3901,17.699,-14.052,-33.239
0.1938,0.0811,0.8423,-5.9204,-48.645,-13.6108,17.77,-18.572,-39.298
0.1665,0.0923,0.8364,-1.77,-49.0112,-11.4136,17.968,-22.099,-44.687
0.2471,0.0986,0.8301,-0.9766,-51.7578,-21.3013,18.71,-25.933,-50.521
0.2412,0.0894,0.8394,-3.6621,-40.3442,-21.1792,19.759,-28.636,-56.651
0.21,0.085,0.8525,-4.6387,-27.6489,-17.395,20.435,-29.96,-61.963
0.1929,0.0771,0.8662,-5.0659,-21.1182,-11.5356,20.61,-30.498,-66.286
0.1826,0.0811,0.8691,-1.2817,-5.6763,-0.8545,20.352,-30.251,-69.252
0.1899,0.0811,0.8716,0.061,0.3052,4.6997,19.567,-29.312,-70.752
0.188,0.0732,0.877,-1.6479,4.2114,2.5024,18.611,-28.087,-71.884
0.1919,0.0771,0.8774,0.3662,12.146,4.5166,17.699,-26.439,-72.735
0.2139,0.0796,0.8706,2.3804,19.3481,5.3101,16.831,-24.219,-73.092
