accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.1436,0.9282,0.3384,0.2441,-5.249,3.1128,70.411,-7.196,-76.124
0.1509,0.9336,0.3306,0.4272,-3.9062,1.4038,70.543,-7.592,-76.097
0.1567,0.9355,0.332,-0.7935,1.5869,0.9155,70.51,-7.811,-75.674
0.1382,0.9302,0.3325,-0.4272,3.6011,-0.6104,70.422,-7.756,-74.954
0.1328,0.9312,0.3315,1.0376,1.8311,0.1831,70.422,-7.646,-74.323
0.1318,0.936,0.3291,0.1221,3.1738,-0.2441,70.461,-7.575,-73.735
0.1348,0.9316,0.3301,0.061,2.0752,0.3662,70.4,-7.553,-73.103
0.125,0.9282,0.3364,-0.7324,0.5493,-0.7324,70.323,-7.454,-72.702
0.1328,0.9316,0.3345,0.9766,-0.7935,0.4883,70.334,-7.471,-72.427
0.126,0.9292,0.3354,-0.2441,0.061,0.5493,70.351,-7.487,-72.169
0.1318,0.9253,0.3359,0.0,-1.0986,2.0142,70.318,-7.646,-71.878
0.1338,0.9355,0.3306,1.0376,-1.0986,1.5259,70.4,-7.811,-71.675
0.1538,0.9321,0.3232,1.4038,-0.9155,0.4272,70.543,-8.009,-71.521
0.144,0.9385,0.3257,-0.6104,3.7842,0.1831,70.554,-8.004,-71.169
0.1597,0.9243,0.3345,0.3662,9.2773,3.7842,70.444,-8.075,-70.351
0.167,0.9263,0.3423,1.5869,24.5361,9.2773,70.28,-8.179,-68.318
0.1841,0.9292,0.3418,2.2583,48.0957,9.4604,70.01,-7.943,-64.374
0.145,0.9224,0.355,-5.8594,75.1953,24.1699,68.994,-7.454,-57.684
0.1719,0.9116,0.3672,-2.9297,100.2808,39.6729,67.456,-7.344,-48.131
0.1611,0.9097,0.3589,-6.5308,155.9448,65.8569,65.418,-7.24,-34.739
0.0229,0.8867,0.4077,-6.897,110.4736,52.9785,63.182,-6.982,-20.012
0.0303,0.8726,0.4526,2.1362,41.9922,24.292,62.358,-6.784,-13.178
0.1006,0.8604,0.4741,5.8594,23.9258,14.0381,62.435,-6.993,-10.876
0.1289,0.8774,0.458,8.7891,6.1035,6.5918,62.814,-7.267,-10.217
0.1616,0.9111,0.4165,3.1738,-7.7515,-2.8076,63.495,-7.63,-11.591
0.1313,0.8872,0.4307,3.3569,-15.1978,-7.6294,63.984,-7.707,-13.815
0.1143,0.9028,0.4038,5.0049,-46.5088,-28.0151,64.979,-7.614,-18.007
0.0649,0.9248,0.3628,2.5024,-104.6143,-54.3823,66.495,-6.817,-27.411
0.1343,0.9434,0.3169,13.4888,-140.9302,-69.6411,68.939,-6.031,-41.924
0.0991,0.98,0.2822,1.8921,-137.8784,-72.876,71.18,-3.867,-57.266
0.1011,0.9448,0.3242,-7.1411,-89.9658,-41.8091,71.559,-2.39,-69.373
0.0596,0.9355,0.3379,-8.0566,-35.7056,-8.0566,70.988,-2.17,-75.092
0.0635,0.9336,0.3423,-6.958,-10.6812,4.4556,70.34,-2.983,-76.349
0.0684,0.9272,0.3438,-3.418,-8.3618,7.4463,69.873,-3.895,-76.388
0.1128,0.9209,0.356,0.061,-6.1035,0.3662,69.686,-4.658,-76.498
0.1001,0.9297,0.3457,-0.1831,-7.3853,3.2349,69.703,-5.12,-76.597
