accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
-0.0156,-0.0981,1.1362,-4.3945,7.1411,7.8125,-2.214,1.544,-82.348
0.0103,-0.0967,1.1475,-14.0991,31.7383,24.231,-3.164,3.389,-81.227
0.0566,-0.0825,1.1543,-50.415,77.1484,88.6841,-5.603,8.657,-76.789
0.0059,-0.1328,1.1606,-55.7861,116.1499,117.1265,-8.784,19.418,-66.901
-0.0176,-0.1348,1.1714,-57.6782,125.0,105.2856,-9.371,31.503,-54.915
-0.1587,-0.231,1.1841,-29.1138,73.8525,58.1665,-7.24,41.468,-41.863
-0.0786,-0.1948,1.1992,-3.3569,29.9072,15.0757,-4.285,44.429,-33.102
-0.1445,-0.189,1.1826,-3.479,16.7847,5.249,-2.049,44.956,-26.691
-0.1699,-0.1953,1.1768,-1.5259,4.7607,1.0986,-0.555,43.934,-21.324
-0.1138,-0.21,1.1943,3.479,-0.1221,-2.3804,0.478,42.017,-16.793
-0.126,-0.208,1.1904,2.9297,-9.5215,-5.249,1.263,39.523,-12.832
-0.1631,-0.2017,1.1855,4.5776,-15.564,-9.1553,1.582,36.475,-9.866
-0.2104,-0.2124,1.1631,16.9678,-42.4805,-30.7617,1.719,32.206,-8.35
-0.1421,-0.1855,1.1714,51.0864,-103.4546,-86.0596,1.588,23.736,-12.079
-0.0669,-0.1143,1.1064,86.2427,-146.9116,-148.4985,4.422,10.613,-23.324
-0.0786,-0.0029,1.0645,66.5894,-135.7422,-132.9346,10.8,-1.62,-40.084
0.0225,-0.0796,1.1328,16.1133,-56.6406,-45.8374,14.892,-8.509,-52.69
-0.0283,-0.104,1.1411,-4.7607,-5.0659,13.4277,14.529,-9.706,-55.959
-0.0293,-0.1216,1.1465,-5.7373,7.8735,15.7471,12.766,-8.839,-56.486
-0.0542,-0.1167,1.146,-2.0142,10.437,7.3242,11.299,-7.207,-57.112
-0.0698,-0.1191,1.1357,-1.2817,4.5776,1.709,10.322,-5.735,-58.502
-0.0708,-0.1265,1.1426,-4.6387,-0.7935,2.3193,9.245,-4.828,-60.128
-0.0532,-0.1357,1.1519,-2.3193,1.5259,4.1504,8.113,-4.186,-61.523
-0.0596,-0.1274,1.1484,1.1597,3.2349,4.0283,7.295,-3.34,-62.737
-0.0566,-0.1221,1.1445,0.1831,0.4272,0.7324,6.685,-2.675,-64.034
-0.0532,-0.1235,1.1455,0.6104,-0.7935,0.4883,6.042,-2.28,-65.479
-0.0366,-0.125,1.147,0.9155,0.1221,2.0142,5.416,-1.972,-66.736
-0.0508,-0.1167,1.1416,1.2817,2.4414,2.3193,4.966,-1.45,-67.797
-0.0547,-0.1133,1.1353,2.0752,-0.3662,2.1973,4.548,-1.011,-68.769
-0.041,-0.103,1.1362,0.9766,-0.5493,0.7324,4.12,-0.84,-69.824
-0.0415,-0.1118,1.1377,-0.3662,0.1831,-0.2441,3.593,-0.577,-70.911
-0.0464,-0.1138,1.1377,-0.2441,-0.1831,-0.7935,3.065,-0.335,-72.037
-0.0435,-0.1128,1.1372,-0.1831,-0.5493,0.3052,2.571,-0.17,-73.032
-0.0386,-0.1084,1.1392,0.7324,0.061,0.2441,2.142,-0.011,-73.949
-0.0493,-0.1108,1.1372,-0.4272,-0.3052,0.061,1.73,0.203,-74.833
-0.0371,-0.1089,1.1328,-0.1831,0.1221,-0.6714,1.351,0.352,-75.657
-0.0454,-0.1084,1.1362,0.5493,1.0376,0.1221,0.956,0.571,-76.465
-0.0469,-0.1123,1.1343,0.1831,-0.4272,-0.2441,0.582,0.736,-77.217
-0.0425,-0.1118,1.1377,-0.9766,-0.2441,0.3662,0.192,0.802,-77.932
-0.0396,-0.1089,1.1367,0.1831,0.1831,0.4883,-0.148,0.917,-78.519
-0.0444,-0.1079,1.1357,-0.6714,0.0,-0.4883,-0.478,1.016,-79.184
-0.0459,-0.1216,1.1426,-1.709,0.7935,0.5493,-0.934,1.137,-79.755
-0.0391,-0.1206,1.1396,1.5259,-0.3052,-0.7935,-1.225,1.241,-80.299
-0.0386,-0.1084,1.1338,0.8545,-1.2817,-1.1597,-1.335,1.252,-80.936
-0.0435,-0.1064,1.1328,-0.9155,0.4272,-0.4883,-1.544,1.296,-81.513
-0.0464,-0.1069,1.1348,-1.2817,0.9766,-0.1221,-1.857,1.434,-81.942
-0.042,-0.1138,1.1396,-2.5635,3.2349,2.3193,-2.258,1.637,-82.326
