accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.0649,0.8687,0.4561,6.1646,-16.6016,3.1128,65.193,-3.675,-77.151
0.1245,0.9307,0.415,7.4463,8.7891,10.9863,65.967,-4.702,-76.827
0.0991,0.8975,0.4023,4.4556,19.104,10.376,66.165,-5.07,-74.52
0.0957,0.9033,0.3887,8.1787,14.5874,10.8643,66.605,-5.433,-72.164
0.0981,0.9277,0.3594,8.9111,0.8545,6.897,67.396,-5.938,-70.763
0.1182,0.936,0.3589,2.1362,-6.8359,0.0,67.956,-6.378,-70.675
0.1328,0.9238,0.3682,-0.9155,-3.6621,-1.6479,68.088,-6.531,-70.999
0.1226,0.9199,0.3726,-1.5259,1.9531,-0.9155,68.0,-6.487,-70.807
0.1104,0.9102,0.374,0.1831,0.6104,1.2817,67.874,-6.449,-70.34
0.1143,0.9189,0.3745,-0.061,-1.8921,-0.4272,67.928,-6.487,-70.192
0.1226,0.9238,0.3721,0.6714,-0.5493,0.3052,67.978,-6.581,-70.043
0.1167,0.9165,0.3726,-0.4272,0.0,0.0,67.978,-6.57,-69.879
0.1211,0.918,0.3716,1.2207,0.061,0.9155,68.011,-6.647,-69.62
0.1226,0.9199,0.3682,0.4272,0.3052,0.5493,68.082,-6.707,-69.39
0.125,0.9165,0.3711,1.0376,1.1597,0.9155,68.115,-6.735,-69.099
0.127,0.9194,0.3657,0.0,4.7607,0.3662,68.209,-6.696,-68.665
0.1445,0.9165,0.3784,2.4414,17.6392,8.4839,68.192,-6.724,-67.396
0.1958,0.9258,0.3755,2.7466,51.2085,18.6157,68.093,-6.85,-63.71
0.1958,0.9082,0.3872,-0.6104,92.6514,35.9497,67.198,-6.784,-55.75
0.1118,0.9053,0.3774,1.8311,114.0747,40.9546,66.066,-6.284,-44.072
0.0981,0.8638,0.4058,14.4653,97.8394,23.6816,65.49,-5.279,-33.525
0.0298,0.9175,0.3794,11.2915,50.9644,16.7847,66.473,-4.076,-26.862
0.0259,0.9287,0.3672,7.019,34.2407,13.3667,67.148,-3.686,-23.39
0.04,0.9272,0.356,4.8828,18.4326,10.6201,67.495,-3.867,-21.335
0.0498,0.936,0.3574,2.7466,-2.6855,-4.0283,67.874,-3.768,-21.55
0.0693,0.9321,0.3604,1.2207,-5.7373,-1.709,68.231,-3.752,-22.983
0.042,0.9258,0.3613,-0.6104,-19.165,-7.6294,68.346,-3.73,-24.89
-0.0029,0.9468,0.334,-4.1504,-60.6689,-23.4375,68.544,-3.565,-29.597
0.0493,0.9346,0.3276,-0.4883,-103.3325,-42.0532,68.939,-3.538,-39.078
0.0679,0.9272,0.3281,4.0894,-113.2202,-47.7295,69.824,-2.955,-51.037
0.0918,0.9302,0.3271,5.0659,-87.4023,-36.499,70.9,-2.461,-61.666
0.0806,0.9341,0.3105,8.606,-53.9551,-12.6953,71.949,-2.521,-68.632
0.0952,0.9688,0.2925,-0.1831,-21.0571,2.5024,72.609,-3.395,-71.774
0.0879,0.9575,0.2949,-2.3804,-2.9297,7.7515,72.449,-4.318,-72.142
0.1021,0.9561,0.2959,-6.1646,-2.7466,4.5166,72.087,-5.098,-71.785
0.0981,0.9429,0.3179,-5.7983,-7.9346,1.4038,71.526,-5.411,-71.933
0.1265,0.9258,0.3335,-2.5635,-8.667,-1.2207,71.142,-5.773,-72.493
0.1104,0.939,0.3271,-1.2207,-2.9907,-1.3428,71.01,-5.85,-72.735
