accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
-0.0371,-0.1587,1.1875,-6.5918,11.8408,13.916,0.275,0.406,-66.599
-0.0269,-0.1567,1.1929,-17.334,34.1187,35.7666,-1.291,2.873,-65.039
-0.0439,-0.1704,1.1929,-24.4141,51.5137,50.1709,-3.466,7.317,-61.589
-0.0605,-0.1787,1.1953,-30.8838,59.9976,57.4951,-5.565,12.958,-57.074
-0.0674,-0.1802,1.1929,-33.3252,68.7256,77.3315,-7.004,19.281,-50.696
-0.0112,-0.1919,1.2393,-39.7339,68.4814,81.7261,-7.592,25.642,-41.248
-0.0864,-0.2334,1.2363,-24.231,54.8706,63.5986,-6.647,31.02,-30.553
-0.0884,-0.209,1.2173,-4.1504,24.7192,21.6064,-4.774,33.607,-22.242
-0.0898,-0.2026,1.2095,-4.7607,15.0146,14.5264,-3.268,34.08,-16.04
-0.061,-0.2197,1.2295,2.9907,12.085,-0.6714,-2.384,33.657,-11.426
-0.1348,-0.209,1.2056,0.2441,5.7373,-0.7935,-1.626,32.975,-7.751
-0.085,-0.2231,1.2144,1.9531,1.8311,0.2441,-1.077,31.608,-4.18
-0.1299,-0.1846,1.1982,1.709,-0.6104,-0.3662,-0.511,30.108,-0.725
-0.0991,-0.2104,1.2021,-0.4272,-7.3242,-4.1504,-0.472,28.163,2.181
-0.1069,-0.2065,1.2168,0.6714,-7.2021,-5.127,-0.637,26.12,4.675
-0.2065,-0.2241,1.1782,20.1416,-35.0342,-56.6406,-1.0,22.923,4.955
-0.1318,-0.1978,1.1719,53.4668,-114.624,-129.8218,-0.626,13.744,-3.203
-0.0356,-0.1655,1.1797,66.1621,-123.3521,-130.7983,3.268,1.609,-15.941
-0.0312,-0.1304,1.1743,50.5371,-84.7778,-86.731,8.932,-6.619,-28.691
-0.0376,-0.126,1.1763,22.0947,-33.9355,-38.3911,12.546,-10.536,-37.864
-0.0469,-0.1484,1.1816,-8.667,-0.061,14.7705,12.277,-10.475,-41.221
-0.0566,-0.1611,1.1885,-11.1694,11.1694,19.8975,10.217,-8.965,-41.792
-0.0825,-0.1792,1.1948,-9.5215,6.1035,7.1411,8.212,-7.185,-42.698
-0.0713,-0.1909,1.1973,-0.6714,1.0986,-1.77,6.96,-6.174,-44.687
-0.0747,-0.1831,1.1968,1.8311,-2.1973,-1.6479,6.334,-5.46,-47.01
-0.0625,-0.1768,1.1953,0.8545,-0.4883,-0.7935,5.812,-4.856,-49.125
-0.0703,-0.1782,1.1958,0.4883,0.5493,0.0,5.186,-4.142,-51.026
-0.0757,-0.1709,1.1895,0.4272,0.0,-0.2441,4.631,-3.466,-52.828
-0.0752,-0.1772,1.1948,-0.9155,-0.6104,-0.3662,3.983,-2.895,-54.575
-0.0698,-0.1733,1.187,1.0376,0.0,-0.2441,3.466,-2.384,-56.201
-0.0703,-0.168,1.1865,1.0376,0.0,-0.1831,2.977,-1.901,-57.744
-0.0698,-0.1685,1.1865,0.061,-0.5493,-0.3662,2.428,-1.511,-59.222
-0.0708,-0.1748,1.1904,-0.6714,-1.0986,-0.5493,1.824,-1.176,-60.645
-0.0693,-0.1787,1.1924,0.4272,0.0,-0.1831,1.285,-0.862,-61.996
-0.0693,-0.1689,1.189,0.4272,0.5493,0.2441,0.862,-0.494,-63.21
-0.0669,-0.1733,1.1899,-0.6714,1.1597,0.3052,0.363,-0.115,-64.325
-0.0586,-0.1733,1.1919,-0.7935,2.7466,3.2959,-0.17,0.313,-65.248
-0.0562,-0.167,1.1909,-1.709,9.7046,6.3477,-0.725,1.132,-65.83
