accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.0005,0.8945,0.4487,-0.8545,-0.1831,-0.4272,61.683,0.159,-63.034
-0.0117,0.8906,0.4644,-5.3101,-0.7324,-0.4272,61.436,0.269,-63.105
0.0146,0.894,0.4595,-9.8877,1.2207,-3.9062,60.853,0.401,-63.182
0.0107,0.8843,0.4639,-28.1372,-1.3428,-9.4604,58.958,0.983,-63.468
0.0,0.8418,0.5259,-42.1753,3.8452,-14.4653,55.591,2.054,-64.023
-0.041,0.7798,0.5884,-58.5938,8.3008,-20.2026,50.85,3.713,-64.523
-0.0884,0.6802,0.6831,-67.5049,13.0615,-24.231,44.835,5.911,-65.187
-0.1646,0.5786,0.7881,-61.5845,11.5356,-19.165,38.655,8.152,-65.901
-0.1875,0.4932,0.835,-46.0205,6.8359,-15.686,33.519,9.745,-66.66
-0.2124,0.4395,0.8696,-36.7432,5.4321,-10.6812,29.416,10.92,-67.467
-0.2188,0.3604,0.917,-26.062,7.3853,-8.3008,26.093,11.915,-68.044
-0.2524,0.3237,0.9385,-13.5498,5.3101,-5.0659,24.011,12.854,-68.346
-0.2793,0.293,0.9429,-1.0986,-0.1831,-0.3052,23.071,13.189,-68.412
-0.2739,0.3047,0.9492,13.2446,-9.1553,9.2773,23.505,12.728,-68.181
-0.1392,0.2979,0.9897,38.7573,-2.9907,15.2588,25.823,11.514,-67.264
-0.2017,0.4639,0.8384,71.6553,-3.0518,24.353,31.696,10.756,-65.27
-0.1562,0.5952,0.7148,59.021,-14.8315,13.4277,38.145,8.987,-64.188
-0.1138,0.6973,0.6948,47.3633,-12.7563,15.3198,43.017,7.213,-64.067
-0.0635,0.731,0.6553,45.2271,-1.4648,16.2964,47.433,5.735,-63.331
-0.0723,0.793,0.5869,35.8887,0.1221,14.0991,51.493,4.565,-62.122
-0.0298,0.8457,0.519,26.9165,-5.6763,9.5215,54.619,3.29,-61.595
-0.0371,0.8794,0.5034,19.3481,-5.188,4.3945,56.662,2.488,-61.688
0.0127,0.8486,0.5068,12.146,-6.1646,8.606,58.09,1.478,-61.804
-0.0117,0.8569,0.5059,17.5171,-3.1128,4.1504,59.474,0.912,-61.71
-0.0142,0.8711,0.4863,18.9209,-3.2349,5.3101,61.062,0.412,-61.754
-0.0254,0.8965,0.4497,18.4326,-8.2397,9.6436,62.869,-0.489,-61.76
0.0503,0.9019,0.4048,19.4092,-4.2725,5.249,64.83,-1.549,-62.111
0.0513,0.9424,0.3608,13.7939,2.0142,5.9814,66.44,-2.076,-61.842
0.0732,0.9448,0.3354,8.3008,-0.6104,1.4648,67.495,-2.401,-61.545
0.0708,0.9443,0.3394,2.7466,1.0376,-1.5259,68.066,-2.406,-61.551
0.041,0.9326,0.3511,1.8921,0.2441,-1.709,68.307,-2.28,-61.496
0.0288,0.9453,0.3447,1.6479,-1.2817,-0.4272,68.566,-2.241,-61.573
0.0566,0.9326,0.3472,1.0986,-1.5869,0.1831,68.708,-2.351,-61.688
0.0464,0.9331,0.3481,-0.9766,2.3804,-2.6855,68.774,-2.208,-61.666
