accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.3101,0.1294,0.6953,1.4648,-3.7842,-0.6104,21.923,-16.633,-88.528
0.3232,0.1309,0.6909,-0.7935,-1.5869,1.1597,21.434,-17.419,-88.792
0.3364,0.1289,0.6919,-4.0894,-0.6104,1.4038,20.643,-17.99,-88.885
0.3276,0.1348,0.6929,-4.6997,0.7935,0.9155,19.709,-18.364,-89.028
0.333,0.1406,0.6958,-13.0615,2.1973,-1.2207,18.484,-18.677,-89.187
0.3213,0.1157,0.7412,-18.4937,3.418,-2.1973,16.452,-18.759,-89.445
0.3262,0.1147,0.7686,-24.9023,5.3711,-1.9531,14.019,-18.561,-89.604
0.3247,0.1104,0.8076,-32.4707,6.897,-7.0801,11.019,-18.149,-89.951
0.2964,0.0728,0.8667,-40.6494,7.4463,-9.0942,7.421,-17.298,-90.571
0.269,0.0332,0.9443,-43.457,12.3291,-6.8359,3.356,-16.276,-91.313
0.2505,-0.0161,1.0249,-43.335,11.1694,-8.4229,-0.807,-15.249,-92.082
0.2168,-0.062,1.0933,-42.7246,10.6201,-8.606,-4.757,-14.233,-92.955
0.2007,-0.0806,1.1304,-42.6025,10.376,-6.1035,-8.377,-13.228,-93.658
0.1753,-0.145,1.1855,-47.7295,10.1318,-6.2256,-12.332,-12.129,-94.296
0.1401,-0.2217,1.2583,-45.0439,7.5684,-6.1646,-16.408,-11.19,-94.971
0.1455,-0.2896,1.3169,-32.1655,3.7842,-6.897,-19.688,-10.734,-95.334
0.1367,-0.3154,1.3276,-30.3955,4.1504,-3.54,-22.088,-10.327,-95.499
0.1216,-0.353,1.3442,-30.3345,1.3428,-3.9062,-24.346,-9.91,-95.504
0.0918,-0.4341,1.4062,-29.3579,-1.5259,-4.0283,-26.697,-9.739,-95.416
0.1265,-0.4639,1.4136,-23.4985,-2.4414,-2.0142,-28.35,-9.8,-95.054
0.1123,-0.522,1.4609,-13.9771,-0.1221,-1.5259,-29.575,-9.547,-94.746
0.1157,-0.5278,1.4521,-1.4648,-2.8687,-0.7324,-29.575,-9.437,-94.301
0.1274,-0.5015,1.4287,8.0566,-3.418,0.8545,-28.663,-9.344,-93.757
0.1323,-0.4878,1.4243,12.5732,-2.6855,2.0142,-27.257,-9.261,-93.06
0.1426,-0.4766,1.4233,19.165,-6.8359,2.2583,-25.389,-9.366,-92.307
0.1548,-0.4365,1.4136,26.5503,-9.8877,1.77,-22.917,-9.728,-91.538
0.1899,-0.3867,1.3789,33.6304,-7.2021,2.4414,-19.704,-10.184,-90.791
0.1914,-0.3306,1.3398,41.8701,-6.2866,2.5635,-15.925,-10.497,-90.17
0.2041,-0.2627,1.2842,51.3306,-5.188,3.1128,-11.376,-10.854,-89.604
0.2319,-0.1665,1.2012,56.5186,-7.0801,2.5635,-6.328,-11.371,-88.984
0.231,-0.1084,1.1416,49.4385,-7.2632,0.1221,-1.461,-12.003,-88.813
0.231,-0.0303,1.0479,51.6968,-6.7139,3.8452,3.23,-12.601,-88.83
0.2598,0.0068,1.0,44.3726,-3.2349,1.8921,7.339,-13.112,-88.726
0.2559,0.0327,0.9404,44.0674,-4.6997,1.4648,11.124,-13.486,-88.759
0.2539,0.085,0.8438,48.584,0.0,4.3945,15.194,-13.733,-88.885
0.2715,0.1235,0.7676,45.2271,-3.9673,-2.1973,19.012,-14.189,-89.297
0.2588,0.1631,0.689,36.499,-0.1831,0.5493,22.374,-14.535,-89.78
0.2622,0.1509,0.6689,20.0195,0.3662,3.479,24.066,-14.76,-89.901
0.2661,0.1694,0.6284,12.3901,-0.1221,2.1973,24.944,-15.106,-90.055
0.2734,0.1655,0.6167,4.7607,-0.3052,1.0376,25.12,-15.507,-90.401
