accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
-0.1973,0.9297,0.3413,0.1221,-1.5869,0.1221,67.538,12.305,-16.985
-0.2051,0.9102,0.3516,-0.1221,-4.8828,2.4414,67.473,12.09,-17.205
-0.1865,0.9136,0.354,-1.9531,-4.6387,0.5493,67.33,11.744,-17.617
-0.1875,0.9287,0.3501,-4.6387,-2.9297,0.1831,67.126,11.558,-17.875
-0.1792,0.9321,0.353,-11.7798,-2.1362,-2.8687,66.462,11.525,-18.122
-0.1763,0.9692,0.3457,-37.7197,-4.3335,-8.4229,64.352,11.799,-18.572
-0.2227,0.8618,0.4375,-44.4336,-4.3335,-5.188,60.112,12.486,-19.341
-0.1846,0.8203,0.5166,-52.002,-2.4414,-10.7422,55.448,12.788,-19.979
-0.2168,0.7329,0.6089,-55.2979,-1.709,-16.3574,50.004,13.777,-20.995
-0.2505,0.6704,0.6694,-51.3306,4.6387,-20.9351,44.626,15.205,-22.214
-0.29,0.5811,0.7358,-49.7437,-4.8828,-24.5361,39.282,16.54,-23.89
-0.3052,0.4897,0.7974,-43.7012,-8.667,-22.7051,34.063,17.419,-26.362
-0.2954,0.4185,0.8359,-41.9922,-2.9297,-20.9961,29.372,17.935,-28.515
-0.3057,0.3472,0.8647,-44.5557,-0.061,-18.6768,24.835,18.534,-30.212
-0.335,0.2622,0.8906,-37.4756,2.0142,-16.6626,20.572,19.188,-31.668
-0.356,0.1753,0.9346,-28.4424,1.3428,-10.376,16.897,19.644,-32.816
-0.3589,0.1567,0.9414,-6.2256,2.1973,0.4883,15.062,19.935,-33.102
-0.3359,0.1963,0.9092,0.0,-0.9766,1.4648,14.755,19.869,-32.794
-0.3423,0.1895,0.9165,1.8311,1.5259,-0.1831,14.672,19.896,-32.695
-0.3457,0.1587,0.9492,13.9771,0.6714,3.9062,15.282,19.907,-32.448
-0.3447,0.1602,0.9507,40.7715,7.1411,14.0991,17.957,19.847,-31.426
-0.3394,0.3125,0.854,58.5327,6.2866,27.2827,23.423,19.863,-28.938
-0.3042,0.5044,0.7754,55.8472,6.1035,23.3154,29.811,19.254,-26.065
-0.2935,0.5908,0.7339,42.6025,2.9297,16.7847,35.123,18.534,-23.939
-0.3018,0.6177,0.7104,34.1187,1.5869,10.6812,39.023,17.979,-22.731
-0.2998,0.6606,0.6782,34.79,-1.5869,13.0615,42.583,17.281,-21.808
-0.2817,0.707,0.6338,38.147,-1.0986,14.4043,46.406,16.254,-20.836
-0.2485,0.7603,0.5879,35.5835,-6.0425,13.3057,50.136,15.035,-20.149
-0.2275,0.8066,0.5513,30.2124,-7.6294,9.8877,53.377,13.716,-19.962
-0.1958,0.8418,0.522,20.9961,-6.6528,7.3853,55.904,12.689,-20.061
-0.1919,0.8315,0.5049,12.3901,-1.2207,2.8076,57.415,12.096,-20.067
-0.186,0.8594,0.4863,10.8643,0.7324,3.6621,58.694,11.673,-19.907
-0.1777,0.8652,0.4663,6.7139,1.6479,3.6011,59.672,11.327,-19.561
-0.1802,0.8745,0.46,2.5024,2.0142,3.1128,60.266,11.14,-19.166
-0.1709,0.8701,0.459,0.3662,2.6855,0.5493,60.513,11.052,-18.842
