accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.0972,0.9893,0.208,-1.77,0.1221,-1.709,75.498,-4.73,-85.781
0.0879,0.9683,0.2227,-3.0518,-0.3662,-1.9531,75.355,-4.636,-85.792
0.0771,0.9688,0.23,-3.8452,0.0,-1.1597,75.168,-4.499,-85.792
0.0864,0.9727,0.2363,-5.3711,1.6479,-2.3804,74.85,-4.367,-85.732
0.0786,0.9814,0.2407,-9.1553,1.0986,-3.1128,74.284,-4.054,-85.6
0.0776,0.9683,0.2544,-14.5264,5.9814,-8.606,73.246,-3.411,-85.402
0.0498,0.9629,0.2974,-21.6064,7.5684,-10.1318,71.57,-2.411,-84.996
0.0132,0.9165,0.3394,-24.4141,6.6528,-7.4463,69.181,-1.269,-84.512
0.0029,0.9336,0.3677,-26.5503,4.8218,-6.8359,66.956,-0.461,-84.21
0.0151,0.9053,0.4106,-37.3535,5.7373,-9.9487,63.968,0.368,-84.084
-0.021,0.8774,0.4482,-55.481,14.7095,-22.0947,59.678,2.219,-83.919
-0.0698,0.7456,0.6187,-49.4385,8.7891,-16.0522,54.102,4.202,-83.925
-0.0991,0.7554,0.6426,-37.4146,4.8828,-15.7471,50.175,5.718,-84.276
-0.1265,0.7075,0.6709,-38.7573,5.188,-17.4561,46.423,7.267,-84.99
-0.1655,0.6606,0.7202,-48.8281,7.6904,-18.1274,42.209,8.899,-85.726
-0.1982,0.5684,0.7842,-40.1611,3.7842,-13.3667,37.842,10.267,-86.402
-0.2075,0.5132,0.8369,-27.0996,0.1831,-10.1929,34.612,11.025,-87.177
-0.1992,0.4873,0.8516,-19.4092,-2.8076,-10.1318,32.305,11.277,-87.907
-0.2217,0.4443,0.8799,-11.0474,-1.8921,-3.479,30.586,11.464,-88.588
-0.2231,0.4424,0.877,-2.5024,-1.4038,2.2583,29.828,11.404,-88.61
-0.1943,0.4463,0.8716,2.5024,-2.3804,4.2725,29.734,11.091,-88.336
-0.1714,0.4805,0.8511,1.77,-2.4414,1.5259,29.943,10.717,-88.094
-0.2046,0.4614,0.875,-0.3052,-2.3193,2.1362,29.888,10.635,-88.077
-0.1904,0.4458,0.873,8.7891,-3.9062,5.0049,30.223,10.311,-87.836
-0.1792,0.4756,0.8691,19.8364,-4.5776,7.6294,31.487,9.728,-87.495
-0.1704,0.521,0.8413,30.4565,-4.6387,10.7422,33.849,8.888,-86.924
-0.1772,0.5542,0.7852,41.5039,-4.1504,13.7329,37.255,8.113,-86.127
-0.0986,0.6343,0.7539,46.1426,-6.4697,12.5732,41.402,6.779,-85.397
-0.0957,0.7075,0.6948,53.1006,-4.6387,13.0005,46.159,5.471,-84.809
-0.0801,0.7607,0.6196,60.0586,2.0142,13.916,51.603,4.318,-83.892
-0.0244,0.8477,0.4888,59.7534,-1.6479,14.6484,57.491,3.005,-82.903
-0.0186,0.8799,0.4097,50.5371,-3.0518,17.8833,62.726,1.637,-82.293
0.0259,0.9409,0.3228,48.645,-11.5356,18.8599,67.714,-0.456,-82.106
0.0625,0.98,0.2651,20.9351,-8.7891,7.1411,71.136,-1.945,-82.7
0.0479,0.9907,0.2539,7.4463,-1.2207,8.5449,72.51,-2.747,-82.809
0.0864,0.9712,0.2583,5.0049,-3.0518,4.8218,73.021,-3.477,-82.749
0.0947,0.9653,0.2524,1.1597,-0.061,-0.4883,73.422,-3.735,-82.864
