accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angley,anglez
0.2676,0.1533,0.7319,9.4604,-1.3428,2.0752,18.034,-13.683,-90.428
0.2603,0.1357,0.7368,1.3428,-1.0376,1.1597,17.88,-14.019,-90.555
0.2627,0.1255,0.7437,-1.4038,-0.6104,0.4883,17.369,-14.343,-90.807
0.2637,0.1343,0.7378,-5.0049,0.7935,0.3662,16.65,-14.579,-91.038
0.2666,0.1411,0.7373,-10.0098,3.7231,-0.5493,15.54,-14.612,-91.208
0.2559,0.1274,0.7676,-18.8599,5.4932,-2.1973,13.771,-14.359,-91.428
0.2383,0.105,0.813,-25.3906,6.7749,-3.0518,11.398,-13.936,-91.747
0.231,0.0845,0.8618,-29.0527,4.9438,-5.4932,8.575,-13.403,-92.098
0.2222,0.0605,0.9092,-33.3862,4.5166,-5.0049,5.504,-12.958,-92.609
0.2041,0.0278,0.9819,-37.9028,4.6997,-7.6904,2.153,-12.486,-93.175
0.1875,-0.0073,1.0273,-40.4053,5.9204,-6.4087,-1.434,-11.964,-93.79
0.1738,-0.064,1.0991,-40.3442,3.54,-5.7373,-5.18,-11.492,-94.329
0.1621,-0.106,1.1543,-35.0342,1.8921,-5.8594,-8.586,-11.179,-94.839
0.1558,-0.1265,1.1743,-34.0576,4.0894,-4.4556,-11.552,-10.811,-95.229
0.1509,-0.167,1.2075,-41.8091,5.4932,-4.9438,-14.804,-10.294,-95.504
0.1333,-0.228,1.2544,-44.0674,2.9297,-7.5684,-18.474,-9.805,-95.949
0.1211,-0.3267,1.3481,-43.335,0.0,-10.437,-22.214,-9.794,-96.537
0.0991,-0.3926,1.3848,-32.8369,1.2207,-6.8359,-25.164,-9.783,-96.954
0.082,-0.4429,1.4082,-22.2168,-0.5493,-3.6621,-27.125,-9.591,-96.965
0.0884,-0.4692,1.4272,-11.3525,-1.5869,-1.8311,-28.136,-9.399,-96.674
0.0977,-0.4961,1.4409,-2.0752,-2.1362,-1.77,-28.18,-9.278,-96.317
0.1006,-0.498,1.4482,11.2915,-2.0142,1.8311,-27.202,-9.119,-95.817
0.0913,-0.4648,1.4219,24.292,-5.0659,3.6621,-24.994,-8.932,-95.081
0.1221,-0.3916,1.3765,32.6538,-3.6621,5.9204,-21.775,-8.795,-94.103
0.1211,-0.3369,1.3398,35.7666,-6.5308,4.6997,-18.27,-8.756,-93.208
0.1582,-0.2852,1.3232,44.1895,-9.5825,3.6011,-14.31,-9.3,-92.379
0.189,-0.1929,1.2344,55.4199,-7.2632,5.6152,-9.355,-9.877,-91.67
0.189,-0.1021,1.1387,51.1475,-8.0566,4.1504,-4.208,-10.349,-91.104
0.2051,-0.0571,1.0952,43.2129,-9.1553,3.2349,0.022,-11.036,-90.829
0.2305,-0.0288,1.0508,40.5884,-5.188,2.1973,3.785,-11.711,-90.786
0.2231,0.0146,0.9834,41.3818,-1.4038,3.2349,7.399,-11.953,-90.725
0.2261,0.0513,0.9185,38.147,-5.127,2.3193,10.739,-12.321,-90.67
0.2358,0.0947,0.8477,34.6069,-3.2349,4.5776,13.661,-12.733,-90.714
0.2529,0.1143,0.8135,21.1792,-1.709,2.9297,15.743,-13.315,-90.747
0.2568,0.1128,0.7891,10.8032,-2.0752,1.5869,16.683,-13.689,-90.797
0.2549,0.1211,0.7783,3.7231,-0.7324,2.6855,16.875,-13.947,-90.84
